Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		287	NULL	teɾe;siɾio;ɑgɑgɑ;butumu;butumu
$	NULL		285	NULL	teɾe;siɾio;ɑgɑgɑ;butumu;butumu
a	a	A	1	1	netoa_petewi
ɑ	ɑ	A	281	169	ɑgɑgɑ;ɑgɑgɑ;ɑgɑgɑ;pɑnese;ubɑubɑ
e	e	E	135	90	teɾe;teɾe;pɑnese;pɑnese;ɑgege
ee$	eː	E	2	2	gɑɾee;pepee
h	h	H	18	11	huɾu;ɑhoho;ɑhoho;huɾ_ohuɾuti;huɾ_ohuɾuti
i	i	I	162	89	siɾio;siɾio;niɾo;tuɾituɾi;tuɾituɾi
g	g	K	47	32	ɑgɑgɑ;ɑgɑgɑ;sɑgɑɾu;ɑgege;ɑgege
k	k	K	61	36	kɑɾɑkɑɾɑ;kɑɾɑkɑɾɑ;kɑɾimɑ;kokɑmo;kokɑmo
m	m	M	95	71	butumu;butumu;tɑmɑ;kɑɾimɑ;iwɑmisiɑi
n	n	N	43	20	pɑnese;noudo_noudo;noudo_noudo;niɾo;nono
b	b	P	70	51	butumu;butumu;ubɑubɑ;ubɑubɑ;bɑɾɑ
p	p	P	58	48	pɑnese;duɾupi;bepu;idomɑɾi_iopu;guɾupɑi
ɾ	ɾ	R	160	160	teɾe;siɾio;huɾu;sɑgɑɾu;sɑɾo
s	s	S	50	36	siɾio;pɑnese;sɑgɑɾu;sɑɾo;soɾo
d	d	T	43	31	noudo_noudo;noudo_noudo;ɑduduɾo;ɑduduɾo;duɾupi
t	t	T	54	37	teɾe;butumu;butumu;tɑmɑ;tuɾituɾi
o	o	U	251	131	siɾio;noudo_noudo;noudo_noudo;noudo_noudo;noudo_noudo
w	w	W	33	32	ɑwoɑwo;ɑwoɑwo;iwɑmisiɑi;keɾewɑikeɾewɑi_keɾewɑikeɾewɑi;keɾewɑikeɾewɑi_keɾewɑikeɾewɑi
u	u	Y	139	84	butumu;butumu;butumu;butumu;butumu
_	+	_	27	27	noudo_noudo;iɾɑɾibɑi_iɾɑɾibɑi;ɑɾɑmodoɾɑi_ɑɾɑmodoɾɑi;keɾewɑikeɾewɑi_keɾewɑikeɾewɑi;huɾ_ohuɾuti
