Grapheme	IPA	SCA	Frequency
^a	a	A	7
^b	b	P	39
^d	d	T	17
^ee	eː	E	1
^f	f	B	33
^g	g	K	13
^h	h	H	20
^j	j	J	12
^k	k	K	4
^kh	kʰ	K	9
^l	l	L	16
^m	m	M	27
^n	n	N	14
^oo	oː	U	1
^oo$	oː	U	1
^p	p	P	5
^r	r	R	15
^s	s	S	50
^t	t	T	6
^th	th/tʰ	T	10
^v	v	B	18
^øø	øː	U	3
^ɔ	ɔ	U	3
^ɕ	ɕ	S	3
^ɛ	ɛ	E	5
^ɛɛ	ɛː	E	1
^ɪ	ɪ	I	4
^ɵ	ɵ	U	1
^ʉʉ	ʉː	Y	1
^ʊ	ʊ	Y	2
^ʍ	ʍ	M	3
_	+	_	4
a	a	A	74
a$	a	A	76
b	b	P	18
bb	bː	P	2
bb$	bː	P	1
d	d	T	15
d$	d	T	22
dd$	dː	T	2
e$	e	E	1
ee	eː	E	11
ee$	eː	E	3
f	f	B	9
g	g	K	13
g$	g	K	12
gg	gː	K	2
gg$	gː	K	2
h	h	H	22
h$	h	H	9
i	i	I	2
ii	iː	I	6
ii$	iː	I	3
j	j	J	6
j$	j	J	2
jj	jː	J	1
js	j s	J S	1
k	k	K	4
k$	k	K	2
kh	kh/kʰ	K	11
kh$	kh/kʰ	K	6
khs	kh/kʰ s	K S	1
khs$	kh/kʰ s	K S	1
kk	kk/kː	K	4
l	l	L	23
l$	l	L	12
ll	ll/lː	L	4
ll$	ll/lː	L	2
ls$	l s	L S	1
m	m	M	11
m$	m	M	4
mm	mm/mː	M	11
mm$	mm/mː	M	7
n	n	N	32
n$	n	N	37
nn	nn/nː	N	4
nn$	nn/nː	N	5
ns	n s	N S	1
ns$	n s	N S	1
oo	oː	U	25
oo$	oː	U	10
p	p	P	4
ph	ph/pʰ	P	1
ph$	ph/pʰ	P	2
pp	pp/pː	P	4
pp$	pp/pː	P	1
r	r	R	103
r$	r	R	70
rr$	rr/rː	R	1
rs	r s	R S	13
s	s	S	32
s$	s	S	6
ss	ss/sː	S	3
ss$	ss/sː	S	1
t	t	T	16
t$	t	T	3
th	th/tʰ	T	27
th$	th/tʰ	T	10
ths	ths/tsʰ	C	2
tt	tt/tː	T	24
tt$	tt/tː	T	1
u$	u	Y	2
uu	uː	Y	15
v	v	B	16
v$	v	B	3
yy	yː	Y	5
yy$	yː	Y	1
øø	øː	U	15
øø$	øː	U	2
ŋ	ŋ	N	4
ŋs	ŋ s	N S	1
ŋŋ	ŋŋ/ŋː	N	7
ŋŋ$	ŋŋ/ŋː	N	3
œ	œ	U	6
ɑɑ	ɑː	A	16
ɑɑ$	ɑː	A	1
ɔ	ɔ	U	43
ə	ə	E	41
ə$	ə	E	3
ɛ	ɛ	E	36
ɛ$	ɛ	E	7
ɛɛ	ɛː	E	18
ɛɛ$	ɛː	E	1
ɪ	ɪ	I	25
ɵ	ɵ	U	20
ʉʉ	ʉː	Y	16
ʉʉ$	ʉː	Y	3
ʊ	ʊ	Y	21
ʊ$	ʊ	Y	1
ʍ	ʍ	M	2
ʏ	ʏ	Y	14
