Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		276	NULL	hipin;honkʼelee;ʔamam;bəəppaj;ʔəən
$	NULL		278	NULL	hipin;honkʼelee;ʔamam;bəəppaj;ʔəən
a	a	A	92	69	ʔamam;ʔamam;bəəppaj;kapum;ʔamananna
aa	aː	A	17	12	maawɨkɨ;maa;honnaan;wadaa;baaj
cʼ	cʼ	C	19	11	pɨcʼɨɨ;məcʼaw;picʼi;peencʼɨjim;cʼɨj
e	e	E	52	36	honkʼelee;wete;wete;bohejpaj;ʔesto
ə	ə	E	12	9	məcʼaw;wakʼənə;wakʼənə;wə;pʼihəpʼ
ee	eː	E	24	11	honkʼelee;ʔeela;ʔeekʼal;peencʼɨjim;jeewo
əə	əː	E	4	3	bəəppaj;ʔəən;dəə;kəələj
h	h	H	40	7	hipin;honkʼelee;bohejpaj;ʔooho;honpin
ʔ	ʔ	H	27	2	ʔamam;ʔəən;ʔos;ʔamananna;ʔeela
i	i	I	47	31	hipin;hipin;jim;jim;kiw
ɨ	ɨ	I	32	24	kɨjɨsɨ;kɨjɨsɨ;kɨjɨsɨ;pɨcʼɨɨ;kɨlɨm
ii	iː	I	4	3	hiin;hii;kʼapʼiipʼit;diil
ɨɨ	ɨː	I	6	4	pɨcʼɨɨ;bɨɨ;cʼɨɨka;cʼɨɨka;cʼɨɨta
j	j	J	56	7	bəəppaj;kɨjɨsɨ;jim;jim;jol
k	k	K	63	14	kɨjɨsɨ;kiw;kapum;kɨlɨm;kɨlɨm
kk	kk/kː	K	2	2	sukku;bakkal
kʼ	kʼ	K	23	7	honkʼelee;kʼawnandi;wakʼ;honkʼoho;honkʼo
l	l	L	31	14	honkʼelee;jol;ʔeela;kɨlɨm;ʔol
ll	ll/lː	L	1	1	kɨlla
m	m	M	78	19	ʔamam;ʔamam;jim;jim;kapum
n	n	N	45	19	hipin;honkʼelee;ʔəən;ʔamananna;kʼawnandi
nn	nn/nː	N	4	4	ʔamananna;winno;honnaan;pɨjcʼanna
b	b	P	27	3	bəəppaj;bohejpaj;betej;bɨɨ;bɨm
p	p	P	46	12	hipin;pɨcʼɨɨ;kapum;bohejpaj;honpin
^P	P/p	P	1	1	Pin
pp	pp/pː	P	1	1	bəəppaj
pʼ	pʼ	P	13	4	pʼi;wisapʼ;pʼidepʼ;pʼidepʼ;jepʼ
s	s	S	25	11	kɨjɨsɨ;ʔos;ʔesto;sedej;jupus
ss	ss/sː	S	1	1	hɨssɨ
d	d	T	23	14	kʼawnandi;doo;sedej;pɨtodaw;lamdi
t	t	T	37	17	wete;ʔesto;betej;pɨtodaw;butuj
tt	tt/tː	T	2	2	wittee;pettuj
^tʼ	tʼ	T	1	1	tʼun
o	o	U	78	54	honkʼelee;jol;ʔos;bohejpaj;ʔesto
oo	oː	U	32	15	doo;ʔooho;woo;woon;moo
w	w	W	30	3	kiw;wete;kʼawnandi;wakʼ;məcʼaw
ww	ww/wː	W	1	1	jowwoo
u	u	Y	26	19	kapum;jupus;jupus;sukku;sukku
uu	uː	Y	4	1	huu;huu;luul;duu
_	+	_	2	2	woolem_mom;ho_maa
