Grapheme	IPA	SCA	Frequency
^!a	ǃ a	! A	8
^!a$	ǃ a	! A	1
^!g	gǃ	!	9
^!h	ǃʰ	!	4
^!kxh	ǃxʰ	!	7
^!n	ǃⁿ	!	8
^!o	ǃ o	! U	1
^!u	ǃ u	! Y	2
^a	a	A	11
^a$	a	A	2
^b	b	P	1
^d	d	T	11
^g	g	K	3
^h	h	H	7
^i	i	I	4
^k	k	K	14
^m	m	M	5
^n	n	N	3
^o	o	U	11
^o$	o	U	1
^s	s	S	10
^t	t	T	7
^tsh	tsh/tsʰ	C	9
^u	u	Y	1
^u$	u	Y	1
^x	x	G	4
^ǀ	ǀ	!	40
^ǀh	ǀʰ	!	2
^ǁ	ǁ	!	41
^ǂ	ǂ	!	36
^ǂh	ǂʰ	!	6
_	+	_	3
a	a	A	115
a$	a	A	37
aa$	aː	A	2
b	b	P	1
b$	b	P	58
e	e	E	22
e$	e	E	14
g	g	K	32
i	i	I	26
i$	i	I	57
ii	iː	I	1
ii$	iː	I	1
k	k	K	22
m	m	M	14
m$	m	M	16
mm	mm/mː	M	10
ms$	m s	M S	2
n	n	N	36
n$	n	N	4
nn	nn/nː	N	2
ns$	n s	N S	1
o	o	U	55
o$	o	U	12
r	r	R	43
s	s	S	11
s$	s	S	33
t	t	T	1
tsh$	tsh/tsʰ	C	1
u	u	Y	51
u$	u	Y	27
w	w	W	18
x	x	G	5
xh	xh/xʰ	G	24
ǀ	ǀ	!	2
ʔ	ʔ	H	6
