Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		217	NULL	elo;d̪əɲit̪u;nd̪urt̪u;dəbəra;pred̪
$	NULL		226	NULL	elo;d̪əɲit̪u;nd̪urt̪u;dəbəra;pred̪
a	a	A	216	113	dəbəra;waɲgalo;waɲgalo;uməɽa;obwana
f	f	B	9	8	uɽəfia;ŋəfəni;gero_ɲəfən;aut̪_ufud̪a;gafelo
^ð	ð	D	1	1	ðenəŋ_ləgitʃan
e	e	E	65	44	elo;pred̪;gaŋeraŋajo;ŋenŋant̪a;geɽe
ɘ	ɘ	E	7	5	lɘɽwa;ɘd̪u;ɘnəŋia;lɘri;d̪ɘbia
ə	ə	E	108	107	d̪əɲit̪u;dəbəra;dəbəra;uməɽa;dəŋ
i	i	I	65	43	d̪əɲit̪u;tʃino;tʃit̪u;imwad̪əlwa;id̪urt̪u
j	j	J	6	6	gaŋeraŋajo;aijo;kejo;gwaja;ajen
g	g	K	62	18	waɲgalo;gaŋeraŋajo;iligano;gamaŋəno;geɽe
^k	k	K	1	1	kejo
l	l	L	54	35	elo;waɲgalo;lɘɽwa;imwad̪əlwa;pəlalo
m	m	M	22	13	uməɽa;imwad̪əlwa;gamaŋəno;gamənwa;gamolo
mm	mm/mː	M	1	1	ummia
n	n	N	83	53	nd̪urt̪u;tʃino;obwana;ŋenŋant̪a;ŋenŋant̪a
ŋ	ŋ	N	47	25	dəŋ;dəŋ;gaŋeraŋajo;gaŋeraŋajo;ŋenŋant̪a
ɲ	ɲ	N	19	17	d̪əɲit̪u;waɲgalo;gero_ɲəfən;ad̪əɲin;gataɲa
b	b	P	34	25	dəbəra;obwana;d̪aba;abəɽa;aboro
p	p	P	14	9	pred̪;pəlalo;apo;gapəd̪unano;gapiano
r	r	R	66	57	nd̪urt̪u;dəbəra;pred̪;gaŋeraŋajo;id̪urt̪u
ɽ	ɽ	R	22	18	uməɽa;lɘɽwa;uɽəfia;geɽe;uɽu
rr	rr/rː	R	4	4	garram;garram;ŋərraɽa;errega
s	s	S	4	3	so;isia;usil;asagi
d	d	T	23	16	dəbəra;dəŋ;dəŋ;andud̪u;erldo
t	t	T	12	11	gataɲa;ret_nəgonto;ret_nəgonto;etam;gonto
dʒ	dʒ	T	3	3	madʒe;gəɽədʒan;wudʒi
d̪	d̪	T	63	37	d̪əɲit̪u;nd̪urt̪u;pred̪;imwad̪əlwa;id̪urt̪u
tʃ	tʃ	T	14	10	tʃino;tʃit̪u;ðenəŋ_ləgitʃan;tʃabe;tʃəbəro
t̪	t̪	T	21	16	d̪əɲit̪u;nd̪urt̪u;tʃit̪u;ŋenŋant̪a;id̪urt̪u
o	o	U	88	22	elo;tʃino;waɲgalo;obwana;gaŋeraŋajo
w	w	W	29	4	waɲgalo;obwana;lɘɽwa;imwad̪əlwa;imwad̪əlwa
u	u	Y	62	23	d̪əɲit̪u;nd̪urt̪u;nd̪urt̪u;uməɽa;tʃit̪u
_	+	_	15	15	gero_ɲəfən;aut̪_ufud̪a;ðenəŋ_ləgitʃan;ret_nəgonto;gwaɲa_ŋəɲwa
^gw	gw/g w	K W	7	7	gwalano;gwaɲa_ŋəɲwa;gwaja;gwala;gwaɲa
