Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		230	NULL	alɪccpa;maɳɪmaɳɪ;lʊlajɪ;aɳʊŋ;ʊɭaŋɪɲ
$	NULL		228	NULL	alɪccpa;maɳɪmaɳɪ;lʊlajɪ;aɳʊŋ;ʊɭaŋɪɲ
a	a	A	248	188	alɪccpa;alɪccpa;maɳɪmaɳɪ;maɳɪmaɳɪ;lʊlajɪ
c	c	C	18	16	alkkɪcɪ;ɪcɪ;limɪcɪ;ampɪciwɪ;ciɾppʊŋɪ
cc	cː	C	7	5	alɪccpa;lʊucckɪ;lɪɲaŋɪcc;ʊɳʊɳɪcc;ʊɳɪcckan
i	i	I	148	126	milalkkal;dinŋakɪ;diɾikkiɾʊkk;diɾikkiɾʊkk;diɾikkiɾʊkk
ɪ	ɪ	I	127	56	alɪccpa;maɳɪmaɳɪ;maɳɪmaɳɪ;lʊlajɪ;ʊɭaŋɪɲ
ɪɪ$	ɪː	I	3	3	anpɪɪ;ŋilɪɪ;mamɪɪ
j	j	J	29	25	lʊlajɪ;makkajan;lɪɲajan;ʊjʊŋ;ɪɲajan
k	k	K	41	30	dinŋakɪ;akɪan;nikɪ;ʊlʊka;ilikan
kk	kk/kː	K	68	38	milalkkal;ʊɭkkʊɭkk;ʊɭkkʊɭkk;makkajan;alkkɪcɪ
l	l	L	91	60	alɪccpa;lʊlajɪ;lʊlajɪ;milalkkal;milalkkal
ɭ	ɭ	L	26	21	ʊɭaŋɪɲ;ʊɭkkʊɭkk;ʊɭkkʊɭkk;ampiɾiwiɭʊɭ;ampiɾiwiɭʊɭ
ʎ	ʎ	L	8	8	laiʎkkɪ;ɪʎaɾ;waiʎkka;waiʎkka;waiʎkka
m	m	M	88	57	maɳɪmaɳɪ;maɳɪmaɳɪ;milalkkal;makkajan;um
^mm	mː	M	1	1	mmʊjŋan
n	n	N	90	24	makkajan;dinŋakɪ;alkkan;lɪɲajan;akɪan
ŋ	ŋ	N	76	45	aɳʊŋ;ʊɭaŋɪɲ;dinŋakɪ;makkpaŋɪ;amiŋan
ɲ	ɲ	N	46	28	ʊɭaŋɪɲ;lɪɲajan;pimɪɲmʊ;ɪɲajan;aiɲa
ɳ	ɳ	N	19	19	maɳɪmaɳɪ;maɳɪmaɳɪ;aɳʊŋ;imiɳnaɾ;aɳu
nn	nn/nː	N	1	1	annʊka
p	p	P	39	35	alɪccpa;makkpaŋɪ;ampiɾiwiɭʊɭ;ʊwaɾkkpɪ;pimɪɲmʊ
pp	pp/pː	P	1	1	ciɾppʊŋɪ
ɻ	ɻ	R	6	5	mʊmaɻalkk;aliɻɳkan;maiɲpiɻwaɭɪ;iwiɻaɾ;mʊɻaɾɪ
ɾ	ɾ	R	24	15	diɾikkiɾʊkk;diɾikkiɾʊkk;ampiɾiwiɭʊɭ;ʊwaɾkkpɪ;imiɳnaɾ
d	d	T	26	9	dinŋakɪ;diɾikkiɾʊkk;ɪɲmʊldɪ;ladlɪ;dawin
tt	tt/tː	T	1	1	ampattdajkwan
w	w	W	35	20	wa;ampiɾiwiɭʊɭ;ʊwaɾkkpɪ;ʊwakɪ;iwan
u	u	Y	12	2	um;aɳu;inɪɲu;uŋal;lʊucckɪ
ʊ	ʊ	Y	85	64	lʊlajɪ;aɳʊŋ;ʊɭaŋɪɲ;ʊɭkkʊɭkk;ʊɭkkʊɭkk
_	+	_	10	10	ɪiɾ_mʊɳikkaj;maŋi_ŋilɪʊkalkk;maŋi_ŋilɪʊkalkk;kaɭi_naŋil;kaɭi_naŋil
kw	kw/k w	K W	1	1	ampattdajkwan
