Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		228	NULL	ravarav;oetne;ha;mahid;namakoed
$	NULL		228	NULL	ravarav;oetne;ha;mahid;namakoed
a	a	A	223	188	ravarav;ravarav;ravarav;ha;mahid
aa	aː	A	8	8	ohaanoem;ohaanoem;ohaanoem;ohaanoem;ohaanem
v	v	B	30	23	ravarav;ravarav;evikev;evikev;karaved
e	e	E	130	90	oetne;oetne;namakoed;es;oezoeb
h	h	H	65	35	ha;mahid;handam;dahi;wahani
i	i	I	95	42	mahid;dahi;wahani;evikev;waniŋap
ii	iː	I	3	1	koiihi;esevaii;esevaii
j	j	J	11	9	wajar;gigj;jo;evajak;evajak
g	g	K	10	6	tagoe;og;mig;ogatok;igiz
k	k	K	68	21	namakoed;tabok;evikev;karaved;esak
m	m	M	53	26	mahid;namakoed;dom;handam;samb
n	n	N	64	45	oetne;namakoed;handam;wahani;waniŋap
ŋ	ŋ	N	18	14	saŋa;saŋa;ŋe;waniŋap;ŋan
b	b	P	48	13	tabok;samb;oezoeb;boeb;boeb
p	p	P	23	6	par;patoer;waniŋap;kaparet;poet
r	r	R	37	15	ravarav;ravarav;par;patoer;karaved
s	s	S	42	15	saŋa;saŋa;es;samb;sosode
z	z	S	27	22	oezoeb;ra_saŋa_inahzakod;rmz;igiz;izakod
d	d	T	35	8	mahid;namakoed;dom;handam;dahi
t	t	T	28	15	oetne;tabok;patoer;tamoe;ŋat
o	o	U	95	69	oetne;namakoed;tabok;dom;oezoeb
w	w	W	18	2	wahani;waniŋap;na_warin;waniŋap;mitwap
u	u	Y	1	1	oenuin
_	+	_	13	13	ra_saŋa_inahzakod;ra_saŋa_inahzakod;na_warin;ra_saŋa;ra_saŋa_inahinah
