Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		200	NULL	aŋgoar;lnjom;atarar;otu_seen;sas_warenai
$	NULL		200	NULL	aŋgoar;lnjom;atarar;otu_seen;sas_warenai
a	a	A	273	195	aŋgoar;aŋgoar;atarar;atarar;atarar
f	f	B	14	7	a_faru;oifiris;fuenai;fo;orfamoi_nei_taŋgau
v	v	B	62	39	ivor_uta;nava;avetargwar;avwer;tuvu
e	e	E	71	50	sas_warenai;avetargwar;avwer;magwer_anasiar;isere
ee	eː	E	2	1	otu_seen;eete
ʔ	ʔ	H	6	6	taʔnaidʒar;nomaʔl;buʔel;namnaʔai;nomaʔl
i	i	I	85	45	sas_warenai;ivor_uta;namoria;taʔnaidʒar;oifiris
ii$	iː	I	2	2	ansii;nii
j	j	J	5	5	lnjom;amamoi_njai;natnjaere;ajom;amanjat
g	g	K	21	16	aŋgoar;nargwaŋga;nargwaŋga;aŋgun;amaŋgirar
^k	k	K	2	2	kosoŋ;keme
l	l	L	17	9	lnjom;nalambi;nomaʔl;sadʒorlin;nalamb_nasa
m	m	M	66	46	lnjom;namoria;amaŋgirar;magwer_anasiar;nalambi
n	n	N	106	48	lnjom;otu_seen;sas_warenai;nargwaŋga;nargwaŋga
ŋ	ŋ	N	18	17	aŋgoar;nargwaŋga;nargwaŋga;aŋgun;amaŋgirar
b	b	P	11	9	nalambi;nambutu;imbion;matambura;nalamb_nasa
r	r	R	95	69	aŋgoar;atarar;atarar;sas_warenai;nargwaŋga
ɾ	ɾ	R	7	7	ivoɾo;ai_aiwaɾa;ivoɾai;ivoɾamoi;oɾfamoi
s	s	S	50	30	otu_seen;sas_warenai;sas_warenai;ototos;oifiris
ʒ	ʒ	S	3	1	oɾfamoi_neiʒ_amoiʒ;oɾfamoi_neiʒ_amoiʒ;ʒaŋgwatmai
d	d	T	12	10	navir_anda;dedere;dedere;anden;andan
t	t	T	93	70	atarar;otu_seen;ivor_uta;natot;natot
dʒ	dʒ	T	12	7	taʔnaidʒar;dʒoug_sas;ardʒeri;dʒeot;awarirdʒas
o	o	U	113	86	aŋgoar;lnjom;otu_seen;ivor_uta;natot
oo	oː	U	3	3	oro_oom;woofo_avisinar;mooŋgal
w	w	W	24	6	sas_warenai;avwer;ivorar_waviom;naswav;werei_sieri
u	u	Y	65	34	otu_seen;ivor_uta;aŋgun;a_faru;fuenai
_	+	_	47	47	otu_seen;sas_warenai;ivor_uta;a_faru;magwer_anasiar
gw	gw/g w	K W	11	11	nargwaŋga;nargwaŋga;avetargwar;magwer_anasiar;uŋguŋgwemoi
