Grapheme	IPA	SCA	Frequency
^d	d	T	2
^h	h	H	107
^k	k	K	8
^m	m	M	19
^n	n	N	45
^p	p	P	12
^q	q	K	3
^s	s	S	22
^t	t	T	64
^t$	t	T	1
^tʃ	tʃ	T	1
^w	w	W	26
^ɾ	ɾ	R	23
_	+	_	26
a	a	A	210
a$	a	A	63
c$	c	C	1
e	e	E	19
e$	e	E	23
h	h	H	35
i	i	I	87
i$	i	I	71
j	j	J	105
j$	j	J	49
k	k	K	14
m	m	M	32
n	n	N	77
ns	n s	N S	2
o	o	U	12
o$	o	U	9
p	p	P	19
q	q	K	3
s	s	S	42
t	t	T	136
tʃ	tʃ	T	25
u	u	Y	92
u$	u	Y	52
w	w	W	43
ã	ã	A	47
ã$	ã	A	13
õ	õ	U	11
õ$	õ	U	10
ĩ	ĩ	I	23
ĩ$	ĩ	I	18
ũ	ũ	Y	51
ũ$	ũ	Y	20
ɲ	ɲ	N	3
ɾ	ɾ	R	76
ẽ$	ẽ	E	3
