Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		226	NULL	iŋpoajaŋpa;itsʔitsʔi;kal;kal;pilil
$	NULL		228	NULL	iŋpoajaŋpa;itsʔitsʔi;kal;kal;pilil
a	a	A	189	109	iŋpoajaŋpa;iŋpoajaŋpa;iŋpoajaŋpa;kal;kal
^ɑ	ɑ	A	1	1	ɑnuŋ
aa	aː	A	1	1	maali
f	f	B	1	1	tefka
ts	ts	C	39	11	itsʔitsʔi;itsʔitsʔi;tsʔstsʔa;tsʔstsʔa;tsʔimtsʔim
e	e	E	63	35	toniŋkepa;ʃilatsʔe;tefka;elʃa;en
h	h	H	36	3	tsʔahjaŋ;tsʔahjaŋ;poh;poh;johaŋ
ʔ	ʔ	H	52	50	itsʔitsʔi;itsʔitsʔi;tsʔstsʔa;tsʔstsʔa;kʔomo
i	i	I	77	42	iŋpoajaŋpa;itsʔitsʔi;itsʔitsʔi;itsʔitsʔi;pilil
j	j	J	25	10	iŋpoajaŋpa;tsʔahjaŋ;kaju;jaʃa;tsʔaj
k	k	K	82	50	kal;kal;kʔomo;puka;toniŋkepa
l	l	L	49	26	kal;kal;pilil;pilil;ala
m	m	M	31	10	kʔomo;tsʔimtsʔim;tsʔimtsʔim;miri;ʃam
mm	mm/mː	M	1	1	summaŋ
n	n	N	30	23	toniŋkepa;inkʔala;tsʔana;tina;koʃaka_kuman
ŋ	ŋ	N	51	28	iŋpoajaŋpa;iŋpoajaŋpa;toniŋkepa;siŋka;tsʔahjaŋ
p	p	P	35	15	iŋpoajaŋpa;iŋpoajaŋpa;pilil;puka;toniŋkepa
r	r	R	15	9	miri;tokoro;rom;tʃʔiŋkira;tsʔiriʃir
s	s	S	22	8	tsʔstsʔa;siŋka;sap;sa;oso
ʃ	ʃ	S	47	20	ʃilatsʔe;ʃam;jaʃa;ʃil;ʃi
t	t	T	44	20	ti;toniŋkepa;tali;tina;tula
^tʃ	tʃ	T	1	1	tʃʔiŋkira
o	o	U	55	36	iŋpoajaŋpa;kʔomo;kʔomo;toniŋkepa;po
w	w	W	13	2	waʃa;waʃaka;tʔwa;aw;wesaŋ
u	u	Y	49	33	puka;tsʔupa;kaju;tsʔupa;ulaŋ
_	+	_	3	3	koʃaka_kuman;waʃaka_kuman;kaspa_ajʃa
