Grapheme	IPA	SCA	Frequency
^a	a	A	64
^aa	aː	A	3
^b	b	P	1
^e̞e̞	e̞ː	E	1
^g	g	K	1
^i	i	I	9
^j	j	J	4
^k	k	K	7
^kw	kw/k w	K W	2
^l̪	l̪	L	3
^m	m	M	69
^n̪	n̪	N	76
^o̞	o̞	U	28
^p	p	P	8
^s̪	s̪	S	1
^s̪s̪	s̪ː	S	1
^tʃ	tʃ	T	2
^t̪	t̪	T	17
^t̪s̪	ts̪	T	1
^w	w	W	5
^ŋ	ŋ	N	10
^ɣ	ɣ	G	2
^ɯ	ɯ	I	1
^ɯɯ	ɯː	I	1
^ɾ̪	ɾ̪/ɾ	R	1
^ʃ	ʃ	S	5
_	+	_	85
a	a	A	335
a$	a	A	14
aa	aː	A	17
b	b	P	14
b$	b	P	9
bs̪	b s̪	P S	1
d̪	d̪	T	27
d̪$	d̪	T	7
e̞	e̞	E	115
e̞$	e̞	E	7
e̞e̞	e̞ː	E	1
g	g	K	26
g$	g	K	7
gw	gw/g w	K W	2
h	h	H	1
i	i	I	166
ii	iː	I	27
j	j	J	82
j$	j	J	56
jj	jː	J	1
k	k	K	56
k$	k	K	17
kw	kw/k w	K W	40
l̪	l̪	L	60
l̪$	l̪	L	14
l̪w	l̪ w	L W	1
m	m	M	58
m$	m	M	8
n	n	N	1
n̪	n̪	N	96
n̪$	n̪	N	61
o̞	o̞	U	88
p	p	P	28
p$	p	P	8
q	q	K	1
r̪	r̪	R	8
s̪	s̪	S	6
s̪$	s̪	S	5
tʃ	tʃ	T	27
tʃ$	tʃ	T	8
t̪	t̪	T	43
t̪$	t̪	T	26
t̪s̪	ts̪/ts̪	T	6
t̪s̪$	ts̪/ts̪	T	10
u	u	Y	27
w	w	W	16
w$	w	W	22
ŋ	ŋ	N	25
ɣ	ɣ	G	4
ɣ$	ɣ	G	23
ɯ	ɯ	I	68
ɯɯ	ɯː	I	2
ɸ	ɸ	B	8
ɾ̪	ɾ̪/ɾ	R	62
ɾ̪$	ɾ̪/ɾ	R	9
ʃ	ʃ	S	24
ʃ$	ʃ	S	12
