Grapheme	IPA	SCA	Frequency
^a	a	A	17
^aa	aː	A	7
^aa$	aː	A	1
^e	e	E	4
^e$	e	E	1
^ee	eː	E	2
^i	i	I	12
^ii	iː	I	8
^ii$	iː	I	1
^k	k	K	50
^m	m	M	52
^n	n	N	16
^o	o	U	15
^o$	o	U	2
^oo$	oː	U	1
^p	p	P	23
^r	r	R	54
^t	t	T	26
^u	u	Y	9
^u$	u	Y	2
^uu	uː	Y	2
^ŋ	ŋ	N	1
^ŋ$	ŋ	N	1
_	+	_	3
a	a	A	85
a$	a	A	63
aa	aː	A	16
aa$	aː	A	2
e	e	E	26
e$	e	E	39
ee	eː	E	3
ee$	eː	E	1
g	g	K	72
i	i	I	44
i$	i	I	52
ii	iː	I	3
k	k	K	39
l	l	L	2
m	m	M	30
n	n	N	38
nn	nn/nː	N	5
o	o	U	93
o$	o	U	54
oo	oː	U	3
oo$	oː	U	4
p	p	P	41
r	r	R	100
t	t	T	59
u	u	Y	111
u$	u	Y	65
uu	uː	Y	6
uu$	uː	Y	7
ŋ$	ŋ	N	11
ɑ	ɑ	A	1
