Grapheme	IPA	SCA	Frequency
^a	a	A	10
^b	b	P	5
^d	d	T	3
^e	e	E	1
^g	g	K	2
^h	h	H	6
^i	i	I	16
^j	j	J	8
^k	k	K	7
^l	l	L	2
^m	m	M	6
^n	n	N	9
^ns	n s	N S	1
^o	o	U	3
^p	p	P	4
^s	s	S	13
^t	t	T	19
^th	th/tʰ	T	3
^tt	tː	T	1
^tʃ	tʃ	T	8
^u	u	Y	4
^u$	u	Y	1
^w	w	W	2
^z	z	S	1
^ʃ	ʃ	S	1
_	+	_	3
a	a	A	73
a$	a	A	37
aa	aː	A	6
aa$	aː	A	1
b	b	P	5
b$	b	P	1
d	d	T	4
e	e	E	17
e$	e	E	7
f$	f	B	1
g	g	K	17
g$	g	K	1
h	h	H	25
h$	h	H	1
i	i	I	30
i$	i	I	31
j	j	J	31
j$	j	J	7
jh	jh/j̊	J	1
k	k	K	13
k$	k	K	8
kw	kw/k w	K W	2
kʃ$	k ʃ	K S	1
l	l	L	55
l$	l	L	1
m	m	M	16
m$	m	M	4
n	n	N	13
n$	n	N	2
nh$	nh/n̥	N	1
ns	n s	N S	1
o	o	U	32
o$	o	U	16
oo	oː	U	2
oo$	oː	U	1
p	p	P	12
p$	p	P	2
r$	r	R	1
s	s	S	7
ss	ss/sː	S	1
t	t	T	28
t$	t	T	1
th	th/tʰ	T	1
tt	tt/tː	T	3
tʃ	tʃ	T	13
u	u	Y	64
u$	u	Y	6
w$	w	W	3
ʃ	ʃ	S	15
ʃ$	ʃ	S	1
