Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		325	NULL	gaaj;isadodeɾiŋai;digaaʔ;ibodi;n̥eeseʔ
$	NULL		265	NULL	gaaj;isadodeɾiŋai;ibodi;aan̥iŋaai;kutʃiisooi
a	a	A	249	183	isadodeɾiŋai;isadodeɾiŋai;m̥aneɾo;m̥aneɾo;pooɾaooi
ã	ã	A	10	7	ãɾu;õokoɾoɾãai;ĩikooɾãʔ;ãɾama;pooɾãakaɾaai
aa	aː	A	108	81	gaaj;digaaʔ;aan̥iŋaai;aan̥iŋaai;kaasekaai
e	e	E	118	83	isadodeɾiŋai;n̥eeseʔ;kaasekaai;m̥aneɾo;m̥aneɾo
ẽ	ẽ	E	4	3	tʃuŋupeɾẽ;saɾẽi;ikatekaɾẽʔ;saɾẽi
ee	eː	E	42	36	n̥eeseʔ;uheeʔ;aheei;an̥okeei;geei
h	h	H	39	38	uheeʔ;aheei;in̥oŋahaʔ;oo_juɾaheeʔ;ihaɾooʔ
ʔ$	ʔ	H	60	60	digaaʔ;n̥eeseʔ;uheeʔ;ikaiteʔ;kigaadeʔ
i	i	I	326	102	isadodeɾiŋai;isadodeɾiŋai;isadodeɾiŋai;digaaʔ;ibodi
ĩ	ĩ	I	4	1	ĩikooɾãʔ;ĩkeeɾaʔ;kĩɾiike;n̥aɾĩ
ii	iː	I	28	17	kutʃiisooi;giidobooi;siin̥aai;diisi;tʃakii
j	j	J	41	31	gaaj;ijoi;gaaj;oo_juɾaheeʔ;gadiog_ihi_jim̥anuɲaa
g	g	K	64	30	gaaj;digaaʔ;giidobooi;kigaadeʔ;gaadoi
k	k	K	71	54	kutʃiisooi;kaasekaai;kaasekaai;uutʃukuɾui;ikaiteʔ
m	m	M	40	40	n̥umi;tamokoi;n̥umi;ãɾama;amuna
m̥	m̥	M	17	13	m̥aneɾo;m̥aneɾo;gadiog_ihi_jim̥anuɲaa;tʃom̥aɾa_ihi_jiɾidaaj;m̥ane
n	n	N	28	26	m̥aneɾo;m̥aneɾo;naaŋanataai;naaŋanataai;aŋoɾone
ŋ	ŋ	N	15	15	isadodeɾiŋai;aan̥iŋaai;tʃuŋupeɾẽ;iɾiŋoi;naaŋanataai
ɲ	ɲ	N	24	24	gadiog_ihi_jim̥anuɲaa;gagan̥i_ihi_jim̥anuɲaa;uɲeŋameei;gaɾe_ihi_jim̥anuɲaai;tʃom̥aɾa_ihi_jim̥anuɲaai
n̥	n̥	N	49	44	n̥eeseʔ;aan̥iŋaai;siin̥aai;n̥umi;an̥okeei
ɲ̊	ɲ̊	N	2	2	uɲ̊aɾi;aɲ̊ua
b	b	P	17	17	ibodi;giidobooi;ubutʃu;ibagi;iiboʔ
p	p	P	43	28	pooɾaooi;tʃuŋupeɾẽ;pakaai;ipeesute_aɾei;topiei
ɾ	ɾ	R	116	116	isadodeɾiŋai;m̥aneɾo;m̥aneɾo;uutʃukuɾui;pooɾaooi
s	s	S	41	37	isadodeɾiŋai;n̥eeseʔ;kutʃiisooi;kaasekaai;siin̥aai
d	d	T	81	49	isadodeɾiŋai;isadodeɾiŋai;digaaʔ;ibodi;giidobooi
t	t	T	67	56	ikaiteʔ;utatai;utatai;naaŋanataai;taɾooi
tʃ	tʃ	T	27	14	kutʃiisooi;uutʃukuɾui;tʃuŋupeɾẽ;ubutʃu;tʃakii
o	o	U	88	76	isadodeɾiŋai;ibodi;m̥aneɾo;m̥aneɾo;giidobooi
õ	õ	U	4	2	õokoɾoɾãai;kõɾatʃuui;tʃõm̥ãɾãʔ;õɾoon̥ai
oo	oː	U	42	33	kutʃiisooi;giidobooi;pooɾaooi;pooɾaooi;taɾooi
u	u	Y	102	66	kutʃiisooi;uutʃukuɾui;uutʃukuɾui;uutʃukuɾui;ueɾaadi
ũ	ũ	Y	3	2	kũɾeei;oo_jũkaɾatoodeʔ;ũtiɾahaʔ
uu	uː	Y	12	9	uutʃukuɾui;keɾuui;ten̥uui;uusuguɾui;huubi
_	+	_	47	47	ipeesute_aɾei;oo_juɾaheeʔ;idaha_aha_geesi;idaha_aha_geesi;gadiog_ihi_jim̥anuɲaa
