Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		326	NULL	ʔaʔ;ʔaj;ifuθ;ikɾeemjah;kooβʊɾa
$	NULL		330	NULL	ʔaʔ;ʔaj;ifuθ;ikɾeemjah;kooβʊɾa
a	a	A	248	201	ʔaʔ;ʔaj;ikɾeemjah;kooβʊɾa;ʔixviipha
aa	aː	A	67	63	ʔat̪ɾaax;ʔat̪ɾaax;ʔamt̪aap;maan̪;jaamac
f	f	B	24	14	ifuθ;ʔifʊθ;θafɾaam;fʊmpʊh;ʔafʊp
v	v	B	22	17	ʔixviipha;as̪vʊʊt̪;vas̪ih;xaɾaveet̪ak;kʊjɾakin̪ivkih
β	β	B	43	21	kooβʊɾa;ʔatʃβiiβ;ʔatʃβiiβ;ʔaβan̪s̪axiit̪itʃ;ʔaas̪ɾaβaɾ
c$	c	C	1	1	jaamac
θ	θ	D	51	22	ifuθ;ʔifʊθ;θafɾaam;θʊkin̪kʊn̪iʃ;ʔeeθ
ee	eː	E	19	19	ikɾeemjah;keem;xaɾaveet̪ak;keetʃ;ʔeeθ
x	x	G	67	49	ʔixviipha;ʔat̪ɾaax;ʔat̪ɾaax;xaɾaveet̪ak;ʔax
h	h	H	79	23	ikɾeemjah;vas̪ih;fʊmpʊh;mʊmʊh;ʔipih
ʔ	ʔ	H	144	6	ʔaʔ;ʔaʔ;ʔaj;ʔixviipha;ʔat̪ɾaax
i	i	I	165	155	ifuθ;ikɾeemjah;ʔixviipha;vas̪ih;ʔifʊθ
ii	iː	I	68	67	ʔixviipha;ʔatʃβiiβ;ʔiiʃ;ʔaβan̪s̪axiit̪itʃ;ʔaθiik
j	j	J	58	28	ʔaj;ikɾeemjah;jaamac;ʔajʊʔaatʃ;imjah
k	k	K	130	81	ikɾeemjah;kooβʊɾa;keem;xaɾaveet̪ak;s̪ʊɾʊk
kh	kh/kʰ	K	3	3	keeβɾiikha;keeβɾiikha;as̪t̪ʊʊkha
m	m	M	69	37	ikɾeemjah;ʔamt̪aap;keem;maan̪;jaamac
mh	mh/m̥	M	1	1	ʔʊhθaamha
n̪	n̪	N	67	37	maan̪;ʔikxaɾamkʊn̪iʃ;θʊkin̪kʊn̪iʃ;θʊkin̪kʊn̪iʃ;ʔaβan̪s̪axiit̪itʃ
n̪h	n̪h/n̪̥	N	1	1	ʔin̪hika
p	p	P	63	25	ʔamt̪aap;ʔapapkam;ʔapapkam;fʊmpʊh;ʔipih
ph	ph/pʰ	P	1	1	ʔixviipha
ɾ	ɾ	R	88	73	ikɾeemjah;kooβʊɾa;ʔat̪ɾaax;ʔat̪ɾaax;xaɾaveet̪ak
ɾh	ɾh/ɾ̥	R	1	1	ʔʊxɾhaθkaaj
ʃ	ʃ	S	36	13	ʔikxaɾamkʊn̪iʃ;θʊkin̪kʊn̪iʃ;ʔiiʃ;ikxaɾamkʊn̪iʃ;tʃiʃiih
^s	s	S	1	1	siʃaf
s̪	s̪	S	26	13	as̪vʊʊt̪;vas̪ih;ʔaβan̪s̪axiit̪itʃ;ʔaas̪ɾaβaɾ;ʔis̪
^s̪	s̪	S	6	6	s̪ʊɾʊk;s̪ʊpaah;s̪akɾiiβ;s̪ʊɾʊk;s̪aan̪
tʃ	tʃ	T	61	9	ʔajʊʔaatʃ;keetʃ;ʔatʃβiiβ;ʔaβan̪s̪axiit̪itʃ;ʔʊʊtʃitʃ
t̪	t̪	T	75	32	as̪vʊʊt̪;ʔat̪ɾaax;ʔat̪ɾaax;ʔamt̪aap;xaɾaveet̪ak
tʃh	tʃh/tʃʰ	T	1	1	ʔaatʃitʃha
t̪s̪	ts̪/ts̪	T	1	1	θavʊʊt̪s̪ʊɾ
oo	oː	U	8	5	kooβʊɾa;ʔahoo;ʔit̪ɾoop;ʔahoo;ʔit̪ɾoopat̪iʃaamn̪ih
u	u	Y	2	2	ifuθ;ifujaatʃ
ʊ	ʊ	Y	94	92	kooβʊɾa;ʔajʊʔaatʃ;ʔifʊθ;s̪ʊɾʊk;s̪ʊɾʊk
ʊʊ	ʊː	Y	32	30	as̪vʊʊt̪;ʔʊʊx;ʔʊʊtʃitʃ;kʊʊn̪;ʔaɾʊʊn̪
uu$	uː	Y	2	2	n̪uu;n̪uu
_	+	_	6	6	ʔit̪ɾahjaɾ_kaɾʊ_jiθa;ʔit̪ɾahjaɾ_kaɾʊ_jiθa;paj_n̪an̪ʊʔaβahkam;ʔit̪ɾahjaɾ_kaɾʊ_ʔaxak;ʔit̪ɾahjaɾ_kaɾʊ_ʔaxak
