Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		160	NULL	tɔbudo;ɔbu;ɔsɔlɔsɔ;susugɑ;gɑlɑ
$	NULL		160	NULL	tɔbudo;ɔbu;ɔsɔlɔsɔ;susugɑ;gɑlɑ
ɑ	ɑ	A	69	30	susugɑ;gɑlɑ;gɑlɑ;dɑgɑ;dɑgɑ
ɸ	ɸ	B	16	9	tɛkɛɸɔ;ɸɛ;ɸusɔ;ɸidi;ɸidi
e	e	E	21	7	tɔkɛne;beɑmɛ;de_tɔ;bɔdiɔne;ɛmedi
ɛ	ɛ	E	58	29	tɔkɛne;tɛkɛɸɔ;tɛkɛɸɔ;bɛi;gɛmɛdɛi
h	h	H	25	2	hɛmidu;gisɔhɔlɔ;hɔ;hɔmɔdɔbiɑsɔ;hogo
i	i	I	51	30	bɛi;gɛmɛdɛi;hɛmidu;gisɔhɔlɔ;simi
j	j	J	8	4	jɔgu;jɔ;jumɔlɔ;dɛijɛɸɔ;jɔ
g	g	K	38	26	susugɑ;gɑlɑ;dɑgɑ;gɛmɛdɛi;dɑsɛgɛ
k	k	K	25	11	tɔkɛne;tɛkɛɸɔ;dɔkɔlɔ;kɑdɑ;tɛkɛɸɔ
l	l	L	27	27	ɔsɔlɔsɔ;gɑlɑ;dɔkɔlɔ;gisɔhɔlɔ;wɔlugu
m	m	M	30	22	gɛmɛdɛi;hɛmidu;simi;beɑmɛ;modo
n	n	N	11	5	tɔkɛne;nɑ;nɑ;bɔdiɔne;tɛnɛ
b	b	P	26	20	tɔbudo;ɔbu;bɛi;beɑmɛ;hɔmɔdɔbiɑsɔ
s	s	S	31	19	ɔsɔlɔsɔ;ɔsɔlɔsɔ;susugɑ;susugɑ;sɔ
d	d	T	37	19	tɔbudo;dɑgɑ;gɛmɛdɛi;hɛmidu;dɔkɔlɔ
t	t	T	17	2	tɔbudo;tɔkɛne;tɛkɛɸɔ;towɑ;tɑsɔ
o	o	U	22	11	tɔbudo;towɑ;sowɑ;modo;modo
ɔ	ɔ	U	111	54	tɔbudo;ɔbu;ɔsɔlɔsɔ;ɔsɔlɔsɔ;ɔsɔlɔsɔ
w	w	W	23	12	towɑ;sɑwɔ;sowɑ;howɛi;wɔlugu
u	u	Y	32	21	tɔbudo;ɔbu;susugɑ;susugɑ;hɛmidu
_	+	_	5	5	de_tɔ;sɔbɔ_ɔdogɑ;de_bɔ;dɛbɛgɛ_kɑle;kɑse_mɑgɑjɔ
