Grapheme	IPA	SCA	Frequency
$	NULL	NULL	1
^a	a	A	10
^aa	aː	A	19
^b	b	P	32
^d	d	T	11
^e	e	E	4
^f	f	B	4
^g	g	K	16
^h	h	H	9
^i	i	I	6
^ii	iː	I	3
^j	j	J	20
^k	k	K	28
^kʼ	kʼ	K	12
^m	m	M	3
^n	n	N	14
^o	o	U	2
^oo	oː	U	2
^p	p	P	1
^s	s	S	13
^t	t	T	11
^tʼ	tʼ	T	5
^tʼsʼ	tsʼ	T	7
^tʼʃʼ	tʃʼ	T	3
^u	u	Y	10
^uu	uː	Y	1
^w	w	W	8
^z	z	S	3
^ʂ	ʂ	S	8
^ʃ	ʃ	S	10
^ʈʂ	ʈʂ	C	2
^ʒ	ʒ	S	4
^ʔ	ʔ	H	9
_	+	_	6
a	a	A	82
a$	a	A	42
aa	aː	A	40
b	b	P	6
b$	b	P	10
bs	b s	P S	1
d	d	T	18
d$	d	T	4
e	e	E	11
e$	e	E	3
ee	eː	E	7
f	f	B	4
f$	f	B	4
g	g	K	16
g$	g	K	8
i	i	I	23
i$	i	I	24
ii	iː	I	8
j	j	J	18
j$	j	J	11
js	j s	J S	1
js$	j s	J S	1
k	k	K	24
k$	k	K	2
kkʼ	kʼː	K	1
kʼ	kʼ	K	11
kʼ$	kʼ	K	8
m	m	M	8
m$	m	M	13
mʃ	m ʃ	M S	1
n	n	N	25
n$	n	N	29
ns$	n s	N S	4
nʂ$	n ʂ	N S	1
nʃ$	n ʃ	N S	1
nʒ	n ʒ	N S	1
o	o	U	27
o$	o	U	1
oo	oː	U	14
p	p	P	3
pʼ	pʼ	P	19
s	s	S	3
s$	s	S	5
sw	s w	S W	1
t	t	T	19
t$	t	T	3
ts	ts	C	2
ts$	ts	C	3
tʃ	tʃ	T	6
tʃ$	tʃ	T	2
tʼ	tʼ	T	6
tʼ$	tʼ	T	1
tʼsʼ	tsʼ	T	3
tʼsʼ$	tsʼ	T	5
tʼʃʼ	tʃʼ	T	2
tʼʃʼ$	tʃʼ	T	2
u	u	Y	25
u$	u	Y	70
uu	uː	Y	5
w$	w	W	3
z	z	S	2
z$	z	S	6
ə	ə	E	6
ɾ	ɾ	R	28
ɾ$	ɾ	R	10
ɾʐ	ɾ ʐ	R S	1
ʂ	ʂ	S	6
ʂ$	ʂ	S	4
ʃ	ʃ	S	5
ʃ$	ʃ	S	1
ʈʂ	ʈʂ	C	6
ʈʂ$	ʈʂ	C	3
ʒ	ʒ	S	1
ʒ$	ʒ	S	4
ʔ	ʔ	H	1
ʔ$	ʔ	H	1
