Grapheme	IPA	SCA	Frequency
^a	a	A	17
^e	e	E	37
^g	g	K	10
^h	h	H	47
^j	j	J	14
^kh	kʰ	K	22
^l	l	L	13
^m	m	M	17
^n	n	N	12
^ph	pʰ	P	7
^r	r	R	21
^s	s	S	10
^th	th/tʰ	T	30
^thʃh	thʃh/tʃʰ	T	4
^w	w	W	9
^ʃ	ʃ	S	10
^ʔ	ʔ	H	33
_	+	_	5
a	a	A	155
a$	a	A	105
d	d	T	1
e	e	E	17
h	h	H	149
i	i	I	94
i$	i	I	91
j	j	J	29
kh	kh/kʰ	K	119
khh	khh/kʰ	K	2
l	l	L	29
m	m	M	18
n	n	N	40
n$	n	N	1
o	o	U	56
o$	o	U	1
ph	ph/pʰ	P	22
r	r	R	30
rw	r w	R W	1
s	s	S	30
sw	s w	S W	1
th	th/tʰ	T	87
th$	th/tʰ	T	1
thʃh	thʃh/tʃʰ	T	55
thʃh$	thʃh/tʃʰ	T	1
thʃhw	thʃh/tʃʰ w	T W	1
u	u	Y	78
u$	u	Y	101
w	w	W	11
ɔ	ɔ	U	20
ɔ$	ɔ	U	2
ɛ	ɛ	E	18
ɛ$	ɛ	E	6
ʃ	ʃ	S	37
ʃ$	ʃ	S	4
ʔ	ʔ	H	16
