Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		284	NULL	tɨʔwaiɾoʔ;inakɨɾan;iwan;maʔʃa;nipi
$	NULL		301	NULL	tɨʔwaiɾoʔ;inakɨɾan;iwan;yaʔipi;maʔʃa
a	a	A	365	229	tɨʔwaiɾoʔ;inakɨɾan;inakɨɾan;iwan;yaʔipi
h	h	H	1	1	ohistɨɾoʔ
ʔ	ʔ	H	155	45	tɨʔwaiɾoʔ;tɨʔwaiɾoʔ;yaʔipi;maʔʃa;tanpaʔ
i	i	I	274	211	tɨʔwaiɾoʔ;inakɨɾan;iwan;yaʔipi;yaʔipi
ɨ	ɨ	I	122	114	tɨʔwaiɾoʔ;inakɨɾan;pinɨn;ina_pikɨɾan;pɨtoyoʔnan
ii	iː	I	1	1	niiɾin
^y	y/j	J	17	17	yaʔipi;yaɾaton;yaniɾin;yaʔpiɾa;yanko
k	k	K	74	38	inakɨɾan;ina_pikɨɾan;panka;kɨtɨɾin;kaninton
m	m	M	30	21	maʔʃa;main;tʃiminin;amokan;imiɾa
n	n	N	290	124	inakɨɾan;inakɨɾan;iwan;nipi;tanpaʔ
p	p	P	98	75	yaʔipi;nipi;tanpaʔ;tanpaʔ;pinɨn
ɾ	ɾ	R	95	95	tɨʔwaiɾoʔ;inakɨɾan;waɾianoʔ;ina_pikɨɾan;ina_piɾayan
s	s	S	25	11	nansɨ;ohistɨɾoʔ;sɨwɨn;posa;sami
ʃ	ʃ	S	60	25	maʔʃa;waʔwiʃin;koʔʃonin;taʃinan;koʃatɨɾin
t	t	T	90	67	tɨʔwaiɾoʔ;tanpaʔ;tanpaʔ;pɨtoyoʔnan;pɨʔnatɨʔ
tʃ	tʃ	T	24	21	noyapiatʃin;tʃiminin;aʔnaɾoatʃin;tatʃiton;tʃanatɨɾin
o	o	U	128	112	tɨʔwaiɾoʔ;waɾianoʔ;noyapiatʃin;pɨtoyoʔnan;pɨtoyoʔnan
w	w	W	72	11	tɨʔwaiɾoʔ;iwan;waɾianoʔ;iʔwa;wɨnaiʔ
y	y	Y	25	25	noyapiatʃin;pɨtoyoʔnan;ina_piɾayan;kayoʔ;noya
_	+	_	13	13	ina_pikɨɾan;ina_piɾayan;ko_nɨʔwɨtɨɾinwɨʔ;ʃonka_aʔnaʔ;pɨn_panka
