Grapheme	IPA	SCA	Frequency
^a	a	A	13
^a$	a	A	1
^b	b	P	3
^d	d	T	4
^e	e	E	6
^g	g	K	12
^gw	gw/g w	K W	5
^i	i	I	33
^i$	i	I	1
^ii$	iː	I	1
^j	j	J	5
^k	k	K	20
^kw	kw/k w	K W	3
^l	l	L	12
^m	m	M	20
^n	n	N	11
^o	o	U	3
^p	p	P	4
^r	r	R	5
^s	s	S	13
^t	t	T	12
^tʃ	tʃ	T	13
^u	u	Y	8
^u$	u	Y	1
^w	w	W	11
^ŋ	ŋ	N	6
^ɓ	ɓ	P	15
^ɔ	ɔ	U	7
^ɔ$	ɔ	U	1
^ɗ	ɗ	T	12
^ɛ	ɛ	E	9
^ɛ$	ɛ	E	1
^ɠw	ɠʷ	K	1
^ɪ	ɪ	I	8
^ɲ	ɲ	N	6
^ʄ	ʄ	C	6
^ʊ$	ʊ	Y	1
_	+	_	24
a	a	A	128
a$	a	A	38
aa	aː	A	6
b	b	P	4
b$	b	P	1
c$	c	C	2
d	d	T	9
d$	d	T	8
e	e	E	26
e$	e	E	11
g	g	K	4
g$	g	K	18
i	i	I	47
i$	i	I	8
j	j	J	10
j$	j	J	5
k	k	K	24
k$	k	K	14
kw	kw/k w	K W	16
l	l	L	3
l$	l	L	9
m	m	M	25
m$	m	M	12
n	n	N	36
n$	n	N	29
o	o	U	27
o$	o	U	2
oo	oː	U	1
p	p	P	4
r	r	R	10
r$	r	R	8
rs	r s	R S	1
s	s	S	18
s$	s	S	20
t	t	T	23
t$	t	T	17
tʃ	tʃ	T	11
tʃ$	tʃ	T	18
u	u	Y	39
u$	u	Y	10
w	w	W	8
ŋ	ŋ	N	2
ŋ$	ŋ	N	5
ɓ	ɓ	P	6
ɓ$	ɓ	P	15
ɔ	ɔ	U	25
ɔ$	ɔ	U	2
ɗ	ɗ	T	13
ɗ$	ɗ	T	9
ɛ	ɛ	E	42
ɛ$	ɛ	E	7
ɠ	ɠ	K	4
ɠ$	ɠ	K	2
ɠw	ɠw/ɠ w	K W	1
ɪ	ɪ	I	10
ɪ$	ɪ	I	2
ɲ	ɲ	N	3
ɲ$	ɲ	N	4
ɾ	ɾ	R	3
ʄ	ʄ	C	7
ʄ$	ʄ	C	9
ʊ	ʊ	Y	12
ʔ$	ʔ	H	1
