Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		343	NULL	hɪhtʃɛbɛʔ;hɪɪs;tɔh;hɔɔwʊθɔɔw;bɛhɪɪhɪʔ
$	NULL		343	4	hɪhtʃɛbɛʔ;hɪɪs;tɔh;hɔɔwʊθɔɔw;bɛhɪɪhɪʔ
θ	θ	D	68	51	hɔɔwʊθɔɔw;tʃɛsɔnɪθɛtʃɔɔ;tʃɛʔɪθɛɛ;nɛɛhɪɪθɛɪʔ;hɛɛbɛθɪɪhɪʔ
θh	θh/θʰ	D	1	1	kɔʊθhɛjɛɪ
ɛ	ɛ	E	318	289	hɪhtʃɛbɛʔ;hɪhtʃɛbɛʔ;bɛhɪɪhɪʔ;tʃɛsɔnɪθɛtʃɔɔ;tʃɛsɔnɪθɛtʃɔɔ
ɛɛ	ɛː	E	84	58	hɛɛnɪʔ;bɛɛtʃɛt;bɛɛtʃɛt;tʃɛʔɪθɛɛ;bɛbɛɛnɛɪhɪ
x	x	G	30	19	wɔxʊtɔɔ;hɪnɔɔɔx;hɔɔwtɔxʊʔɔɔ;hɪx;hɛtʃɛxɔnɔhʔɔɛ
h	h	H	170	97	hɪhtʃɛbɛʔ;hɪhtʃɛbɛʔ;hɪɪs;tɔh;hɔɔwʊθɔɔw
ʔ	ʔ	H	143	76	hɪhtʃɛbɛʔ;bɛhɪɪhɪʔ;tʃɛsɛʔɛɪhɪɪ;hɛɛnɪʔ;tʃɛʔɪθɛɛ
ɪ	ɪ	I	200	150	hɪhtʃɛbɛʔ;bɛhɪɪhɪʔ;tʃɛsɔnɪθɛtʃɔɔ;tʃɛsɛʔɛɪhɪɪ;hɛɛnɪʔ
ɪɪ	ɪː	I	96	85	hɪɪs;bɛhɪɪhɪʔ;tʃɛsɛʔɛɪhɪɪ;hɛɛstʃɪɪ;nɪɪtʃɪbɛʔ
ɪɪɪ	ɪɪɪ/ɪː	I	4	4	bɛsɪɪɪsɛʔ;bɪɪɪ;hɪɪsɪɪɪʔɔɔ;nɪɪɪt
j	j	J	19	17	tɔjɔɔb;tʃɛnɛɛtɛɛjɔɔ;bɛtɛnɛjɔɔɔ;hɪɪjɔɔt;tɔjɔθɔɔ
k	k	K	38	19	wʊkʊʊ;kɔkɔɔn;kɔkɔɔn;sɛnɪɪsnɔɔkʊtʃɔɔʔ;kɔtɛɛ
n	n	N	231	90	tʃɛsɔnɪθɛtʃɔɔ;hɛɛnɪʔ;hɪnɔɔɔx;bɛbɛɛnɛɪhɪ;nɪɪtʃɪbɛʔ
b	b	P	102	45	hɪhtʃɛbɛʔ;bɛhɪɪhɪʔ;bɛɛtʃɛt;bɛɛtʃɛt;bɛbɛɛnɛɪhɪ
s	s	S	104	85	hɪɪs;tʃɛsɔnɪθɛtʃɔɔ;tʃɛsɛʔɛɪhɪɪ;hɛɛstʃɪɪ;sɛnɪɪsnɔɔkʊtʃɔɔʔ
t	t	T	108	60	tɔh;bɛɛtʃɛt;bɛɛtʃɛt;wɔxʊtɔɔ;tɔh
tʃ	tʃ	T	64	30	hɪhtʃɛbɛʔ;tʃɛsɔnɪθɛtʃɔɔ;tʃɛsɔnɪθɛtʃɔɔ;tʃɛsɛʔɛɪhɪɪ;bɛɛtʃɛt
o	o	U	3	1	owuʔ;owunoʔ;owunoʔ
ɔ	ɔ	U	149	144	tɔh;tʃɛsɔnɪθɛtʃɔɔ;wɔxʊtɔɔ;tɔh;wɔnɔt
ɔɔ	ɔː	U	120	75	hɔɔwʊθɔɔw;hɔɔwʊθɔɔw;tʃɛsɔnɪθɛtʃɔɔ;wɔxʊtɔɔ;kɔkɔɔn
ɔɔɔ	ɔɔɔ/ɔː	U	4	4	hɪnɔɔɔx;bɛtɛnɛjɔɔɔ;bɛɪtɔɔɔ;bɔhʔɔɔɔ
w	w	W	44	26	hɔɔwʊθɔɔw;hɔɔwʊθɔɔw;wʊkʊʊ;wɔxʊtɔɔ;wɔnɔt
u	u	Y	2	2	owuʔ;owunoʔ
ʊ	ʊ	Y	41	34	hɔɔwʊθɔɔw;wʊkʊʊ;wɔxʊtɔɔ;sɛnɪɪsnɔɔkʊtʃɔɔʔ;hɔɔwtɔxʊʔɔɔ
ʊʊ	ʊː	Y	10	7	wʊkʊʊ;kɔɔʔɔʊʊtɛ;tʃɔʔɔʊʊθɪɪhɪʔ;hɔɔwʊʊnɪ;hɔɔwʊʊhʊʔ
_	+	_	1	1	bɛtɛɛtɔx_nɪɪsɪɪnɪ
