Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		329	NULL	liile;holuhŋe;sokket̪t̪i;naŋʔŋe;meetʃa
$	NULL		329	NULL	liile;holuhŋe;sokket̪t̪i;naŋʔŋe;meetʃa
a	a	A	217	120	naŋʔŋe;meetʃa;tisiinaɨ;t̪ɨmmalɨ;t̪ɨmmalɨ
aa	aː	A	27	26	ʔapaat̪ɨ;kaawi;hɨjaakɨ;kaapet̪ku;ʔaanik
e	e	E	89	49	liile;holuhŋe;sokket̪t̪i;naŋʔŋe;sajje
ee	eː	E	26	25	meetʃa;ʔeeʔatti;mitʃeemati;miweejaʔ;hiʔeema
h	h	H	62	7	holuhŋe;holuhŋe;henna;hɨɨmɨmɨ;hiʔeema
ʔ	ʔ	H	92	16	naŋʔŋe;ʔejtʃitʃɨ;ʔetʃtʃa;ʔolowwit̪;ʔeeʔatti
ʔʔ	ʔʔ/ʔː	H	4	4	musuʔʔa;t̪ɨʔʔele;naʔʔa;t̪inɨʔʔɨɨpak
i	i	I	116	64	sokket̪t̪i;tisiinaɨ;joli;semmila;ʔejtʃitʃɨ
ɨ	ɨ	I	145	65	tisiinaɨ;t̪ɨmmalɨ;t̪ɨmmalɨ;t̪ɨmmalɨ;t̪ɨmmalɨ
ii	iː	I	15	12	liile;tisiinaɨ;patiiwa;waliitɨ;lapiisajɨ
ɨɨ	ɨː	I	9	9	ʔɨɨnɨ;hɨɨmɨmɨ;lɨɨmehnɨ;kawɨɨlɨ;hɨɨlakiʔwa
iii$	iii/iː	I	1	1	waliii
j	j	J	41	29	joli;kɨtʃɨjɨ;ʔejtʃitʃɨ;jɨllɨ;miweejaʔ
jj	jː	J	12	12	sajje;t̪ujju;ʔojjissa;tʃajja;hajje
k	k	K	87	44	kɨtʃɨjɨ;ŋka;seksekɨ;seksekɨ;kululli
kk	kk/kː	K	24	24	sokket̪t̪i;nikkiti;lekkɨtʃɨ;tʃokka;lnssakkeenu
l	l	L	69	51	liile;liile;holuhŋe;t̪ɨmmalɨ;t̪ɨmmalɨ
ll	ll/lː	L	13	13	jɨllɨ;kululli;kolle;walli;hallesɨ
m	m	M	59	35	meetʃa;mitʃeemati;mitʃeemati;miweejaʔ;muusu
mm	mm/mː	M	10	10	t̪ɨmmalɨ;t̪ɨmmalɨ;semmila;loojemma;hojkimmatɨ
n	n	N	47	30	naŋʔŋe;tisiinaɨ;nikkiti;ʔɨɨnɨ;notʃtʃu
ŋ	ŋ	N	12	8	holuhŋe;naŋʔŋe;naŋʔŋe;ŋka;hɨŋkatʃɨ
nn	nn/nː	N	7	7	henna;hanna;hanna;kanni;janna
ŋŋ	ŋŋ/ŋː	N	8	8	juŋŋa;haŋŋɨ;hɨŋŋa;haŋŋoju;jaŋŋatʃtʃɨ
p	p	P	54	24	puutʃe;ʔapaat̪ɨ;ʔoopa;patiiwa;tʃɨt̪pɨ
pp	pp/pː	P	7	7	luppetɨ;ʔɨsɨppa;tʃapput̪t̪i;hineppu;huppete
s	s	S	63	22	sokket̪t̪i;tisiinaɨ;sajje;semmila;seksekɨ
^S	S/s	S	1	1	Saliit̪ɨ
ss	ss/sː	S	11	10	lnssakkeenu;massokka;ʔojjissa;haʔtʃissɨ;hossokkona
t	t	T	31	23	tisiinaɨ;mitʃeemati;nikkiti;luppetɨ;tuttutu
tt	tt/tː	T	10	10	ʔeeʔatti;tuttutu;mututti;hettɨtɨ;ʔujatti
tʃ	tʃ	T	49	32	meetʃa;kɨtʃɨjɨ;ʔejtʃitʃɨ;ʔejtʃitʃɨ;mitʃeemati
t̪	t̪	T	52	23	t̪ɨmmalɨ;t̪ɨmmalɨ;lot̪o;ʔolowwit̪;wɨkt̪ɨ
tʃtʃ	tʃtʃ/tʃː	T	13	13	ʔetʃtʃa;kitʃtʃawɨ;kɨtʃtʃɨtʃɨ;notʃtʃu;mitʃtʃɨ
t̪t̪	t̪t̪/t̪ː	T	19	19	sokket̪t̪i;sɨt̪t̪ɨ;t̪ot̪t̪oʔ;t̪at̪t̪a;ket̪t̪ɨ
o	o	U	59	49	holuhŋe;sokket̪t̪i;joli;lot̪o;lot̪o
oo	oː	U	26	23	tʃooki;ʔoopa;toot̪osu;loojemma;homoomajɨ
w	w	W	34	14	kitʃtʃawɨ;miweejaʔ;wɨkt̪ɨ;patiiwa;waliitɨ
ww	ww/wː	W	7	7	ʔolowwit̪;kawwinta;kawwali;hɨlawwa;ʔawwo
u	u	Y	77	43	holuhŋe;kululli;kululli;luppetɨ;muusu
uu	uː	Y	11	11	puutʃe;muusu;huuwa;luuti;muusu
_	+	_	2	2	noh_nakkeʔ;ii_hawsɨ
