Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		314	NULL	nitin;apkakaji;niptamin;akjokhoho;aplawoki
$	NULL		314	NULL	nitin;apkakaji;niptamin;akjokhoho;aplawoki
a	a	A	615	294	apkakaji;apkakaji;apkakaji;niptamin;akjokhoho
aa	aː	A	14	11	antaa;ankiljikwaaji;aɲimaawoi;ɬimaapaktoi;ankimpaaji
ts	ts	C	7	7	ankilitsitki;atkitsipki;atsimhin;atkitsoi_nikha;watsom
h	h	H	50	50	akjokhoho;tahap;jamit_ajimpihik;askihi;mitki_ahantik
i	i	I	432	334	nitin;nitin;apkakaji;niptamin;niptamin
j	j	J	100	92	apkakaji;akjokhoho;jamit_ajimpihik;jamit_ajimpihik;ajikhik
k	k	K	242	177	apkakaji;apkakaji;akjokhoho;aplawoki;aktoŋ
kh	kh/kʰ	K	24	24	akjokhoho;ajikhik;nikha;akhanaktima;sakhiji
l	l	L	20	14	aplawoki;tipoli;apitik_aptakla;ankiljikwaaji;ankilitsitki
ɬ	ɬ	L	57	45	aptakɬima;aɬkapok;akwanɬiji;amaɬkawoi;apkiɬjakmi
m	m	M	143	117	niptamin;jamit_ajimpihik;jamit_ajimpihik;apmaɲi;aptakɬima
mh	mh/m̥	M	2	2	atsimhin;aɲimhoi
n	n	N	165	126	nitin;nitin;niptamin;niptamin;antaa
ŋ	ŋ	N	18	1	aktoŋ;aktoŋ;koniŋ;jiphopaia_nitiŋ;apniŋaji
ɲ	ɲ	N	26	26	apmaɲi;aɲimaawoi;aɲitnakhik_nahan_amiɬma;aɲimoi;akwaniɲi
nh	nh/n̥	N	2	2	awanhi;awanhi
ŋh	ŋh/ŋ̊	N	2	2	iŋhapitik;iŋhapitik
p	p	P	178	163	apkakaji;niptamin;aplawoki;tipoli;tahap
ph	ph/pʰ	P	8	8	jiphopaia_nitiŋ;aphihik;ijiphihik;apjiphima;aphikhik
s	s	S	43	25	asonkoi;antasi;askihi;paisijam;sakhiji
t	t	T	121	109	nitin;niptamin;antaa;tipoli;aktoŋ
th	th/tʰ	T	1	1	apkathima
o	o	U	111	103	akjokhoho;akjokhoho;akjokhoho;aplawoki;tipoli
oo	oː	U	4	3	amiɬmankoi_mook;koo;apjook;mitki_amiɬma_mook
w	w	W	47	32	aplawoki;awanhi;apkinawo;amaɬkawoi;aɲimaawoi
_	+	_	48	48	jamit_ajimpihik;mitki_ahantik;apitik_aptakla;jiphopaia_nitiŋ;ɬipop_ampaia
kw	kw/k w	K W	17	17	akwatipnapki;akwanɬiji;ankiljikwaaji;akwiniji;akwaniɲi
