Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		231	NULL	awero;giaresa;tetewo;natita;iboro
$	NULL		230	NULL	awero;giaresa;tetewo;natita;iboro
a	a	A	158	119	awero;giaresa;giaresa;natita;natita
aa	aː	A	7	5	newogaagoerinaguare;newogaago;newogaago_erieridare;newogaago_eridare;newogaago_nagiare
e	e	E	136	81	awero;giaresa;tetewo;tetewo;ʔebasaro
ee$	eː	E	1	1	ʔeʔee
ʔ	ʔ	H	60	35	ʔebasaro;ʔaʔa;ʔaʔa;ʔaruʔo;ʔaruʔo
^h	h	H	1	1	hidupi
h$	h	H	1	1	putih
i	i	I	143	76	giaresa;natita;iboro;sawateira;ibi
ii	iː	I	3	2	siiwo;niiti;iiti
^j	j	J	1	1	jari
g	g	K	52	40	giaresa;mawago;iragiro;mogo;mugererido
k	k	K	2	1	kalau;sekarang
l	l	L	1	1	kalau
m	m	M	30	1	miro;mawago;mogo;mararawa;mugererido
n	n	N	43	5	natita;noʔoʔau;na;nira;neʔebisa
b	b	P	34	26	iboro;ʔebasaro;sebab;sebab;ibi
p	p	P	18	13	tapuʔaro;maʔapo;ʔepo;pigi;parea
r	r	R	125	119	awero;giaresa;iboro;ʔebasaro;sarau
s	s	S	38	24	giaresa;ʔebasaro;sarau;sawateira;sebab
d	d	T	39	32	durewo;tarido;dido;dido;sarido
t	t	T	68	44	tetewo;tetewo;natita;natita;sawateira
o	o	U	179	72	awero;tetewo;iboro;iboro;ʔebasaro
oo$	oː	U	1	1	noo
w	w	W	65	63	awero;tetewo;sawateira;mawago;durewo
u	u	Y	61	42	sarau;durewo;ʔaruʔo;sururubo;sururubo
_	+	_	9	9	newowa_sugeri_mutero;newowa_sugeri_mutero;newogaago_erieridare;newogaago_eridare;newogaago_nagiare
