Grapheme	IPA	SCA	Frequency
^a	a	A	16
^e	e	E	8
^f	f	B	29
^i	i	I	10
^i$	i	I	1
^j	j	J	7
^k	k	K	50
^l̪	l̪	L	16
^m	m	M	31
^n̪	n̪	N	7
^p	p	P	45
^r	r	R	10
^t	t	T	1
^tʃ	tʃ	T	32
^t̪	t̪	T	8
^u	u	Y	7
^w	w	W	24
^ŋ	ŋ	N	2
^ɣ	ɣ	G	2
^ɯ	ɯ	I	5
^ɲ	ɲ	N	8
^ʈʂ	ʈʂ	C	13
^ʎ	ʎ	L	4
^θ	θ	D	1
_	+	_	27
a	a	A	119
a$	a	A	33
aa	aː	A	1
e	e	E	109
e$	e	E	55
f	f	B	22
f$	f	B	10
i	i	I	58
i$	i	I	25
j	j	J	26
j$	j	J	5
k	k	K	48
l̪	l̪	L	47
l̪$	l̪	L	7
m	m	M	39
m$	m	M	8
mw	m w	M W	2
n̪	n̪	N	51
n̪$	n̪	N	39
n̪w	n̪ w	N W	1
o	o	U	38
o$	o	U	15
p	p	P	30
r	r	R	31
r$	r	R	3
s	s	S	1
s$	s	S	2
tʃ	tʃ	T	38
t̪	t̪	T	26
u	u	Y	82
u$	u	Y	69
w	w	W	31
w$	w	W	8
ŋ	ŋ	N	16
ŋ$	ŋ	N	3
ɣ	ɣ	G	3
ɣ$	ɣ	G	1
ɯ	ɯ	I	78
ɯ$	ɯ	I	40
ɲ	ɲ	N	24
ɲ$	ɲ	N	8
ʃ	ʃ	S	1
ʈʂ	ʈʂ	C	14
ʎ	ʎ	L	29
ʎw	ʎ w	L W	1
θ	θ	D	17
θ$	θ	D	5
