Grapheme	IPA	SCA	Frequency
$	NULL	NULL	1
!kʼxʼ	!kxʼ	!	1
^!a	ǃ a	! A	5
^!h	ǃʰ	!	4
^!kʼxʼ	ǃxʼ	!	2
^!o	ǃ o	! U	3
^!o$	ǃ o	! U	2
^!u	ǃ u	! Y	6
^!u$	ǃ u	! Y	1
^!uᵑ!	ǃ u ⁿǃ	! Y !	4
^!x	ǃx	!	2
^!ʔ	ǃʔ	!	4
^!ʔh	ǃʔʰ	!	5
^a	a	A	2
^a$	a	A	1
^b	b	P	3
^d	d	T	5
^dh	dʰ	T	1
^dsh	d sʰ	T S	2
^dʃ	d ʃ	T S	2
^dʃh	d ʃʰ	T S	2
^dʒ	dʒ	T	2
^e$	e	E	1
^g	g	K	7
^h	h	H	8
^i$	i	I	1
^k	k	K	13
^kh	kʰ	K	6
^kʼ	kʼ	K	6
^l	l	L	3
^lh	l̥	L	1
^ll	lː	L	1
^m	m	M	3
^m$	m	M	1
^n	n	N	1
^o	o	U	1
^s	s	S	6
^t	t	T	31
^th	th/tʰ	T	2
^ts	ts	C	26
^tʃ	tʃ	T	3
^tʃh	tʃʰ	T	3
^tʒ	t ʒ	T S	2
^u$	u	Y	1
^w	w	W	1
^z	z	S	2
^ǀ	ǀ	!	17
^ǀh	ǀʰ	!	1
^ǁ	ǁ	!	7
^ǂ	ǂ	!	13
^ǂh	ǂʰ	!	1
^ʃ	ʃ	S	7
^ʒ	ʒ	S	6
^ʔ	ʔ	H	1
^ᵑ!	ⁿǃ	!	21
^ᵑǀ	ⁿǀ	!	11
^ᵑǀh	ⁿǀʰ	!	1
^ᵑǀoʕnᵑǀoʕni$	ⁿǀ o ʕ n ⁿǀ o ʕ n i	! U	1
^ᵑǁ	ⁿǁ	!	2
^ᵑǁh	ⁿǁʰ	!	1
^ᵑǂ	ⁿǂ	!	4
^ᵑǂh	ⁿǂh	!	3
^ᶢ!	gǃ	!	20
^ᶢ!a!kʼxʼui	gǃ a ǃkxʼ ui	! A ! Y	1
^ᶢǀ	gǀ	!	6
^ᶢǁ	gǁ	!	17
^ᶢǂ	gǂ	!	3
^ᶢǂh	gǂʰ	!	2
_	+	_	22
_!	+ ǃ	_ !	2
_ᵑ!	+ ⁿǃ	_ !	5
_ᶢ!	+ gǃ	_ !	1
_ᶢǁ	+ gǁ	_ !	1
a	a	A	205
a$	a	A	72
aa	aː	A	2
aaᵑ!	aː ⁿǃ	A !	1
aᵑ!	a ⁿǃ	A !	2
b	b	P	11
d	d	T	2
e	e	E	7
e$	e	E	19
g	g	K	1
g$	g	K	10
h	h	H	7
h$	h	H	11
i	i	I	29
i!	i ǃ	I !	1
i$	i	I	58
ii	iː	I	1
k	k	K	14
kh	kh/kʰ	K	1
kʼ	kʼ	K	10
l	l	L	2
m	m	M	45
m!	m ǃ	M !	1
m$	m	M	21
mh$	mh/m̥	M	1
mm$	mm/mː	M	1
n	n	N	44
n$	n	N	60
ns	n s	N S	2
nᵑ!	n ⁿǃ	N !	1
o	o	U	56
o$	o	U	21
oᵑ!	o ⁿǃ	U !	1
r	r	R	15
s	s	S	1
t	t	T	2
ts	ts	C	5
tz	tz/ts	C	1
tʃ	tʃ	T	2
u	u	Y	60
u!	u ǃ	Y !	2
u$	u	Y	38
uu	uː	Y	1
x	x	G	17
xʼ	xʼ	G	16
z	z	S	9
ǀ	ǀ	!	3
ǂ	ǂ	!	2
ʃ	ʃ	S	1
ʒ	ʒ	S	2
ʔ	ʔ	H	69
ʔh	ʔh/ʔʰ	H	6
ʕ	ʕ	H	27
ʕ$	ʕ	H	12
ᶢ!	gǃ	!	1
