Grapheme	IPA	Frequency
^th	th/tʰ	7
a	a	106
kw	kw/kʷ	18
ɛ$	ɛ	47
^p	p	27
aa	aː	3
ũũ	ũ	8
khs	kh/kʰ s	1
a$	a	56
^ɛ	ɛ	10
ʔs$	ʔs/ˀs	8
^w	w	22
ɛ	ɛ	47
x	x	3
j	j	38
^x	x	9
u	u	68
k	k	17
^ũũ	ũ	3
s	s	16
tʃ	tʃ	11
n	n	38
i$	i	2
^n	n	24
ii	iː	4
m	m	26
ɺ$	ɺ	4
^kh	kʰ	6
ã	ã	7
ʔ	ʔ	39
kh	kh/kʰ	9
^k	k	24
_	+	20
p	p	9
i	i	40
uu	uː	1
ç$	ç	10
^ç	ç	15
z$	z	6
w	w	18
ɛɛ$	ɛː	10
^ɸ	ɸ	8
t	t	35
j$	j	33
ɺ	ɺ	29
ɣ	ɣ	2
^t	t	33
ʃ$	ʃ	6
ɛ̃$	ɛ̃	6
^β	β	4
^j	j	23
h$	h	10
ũ	ũ	11
tʃ$	tʃ	11
^ɛɛ$	ɛː	1
th$	th/tʰ	5
ɛ̃	ɛ̃	16
t$	t	5
d	d	23
^kw	kw/kʷ	4
^tʃ	tʃ	11
^m	m	18
b	b	9
k$	k	5
^a	a	10
ãã	ãː	2
ph$	ph/pʰ	2
z	z	7
w$	w	5
^ph	pʰ	1
h	h	31
çh	çh/çʰ	1
u$	u	8
^ũ	ũ	4
^ɛɛ	ɛː	1
n$	n	11
ʔh$	ʔh/ʔʰ	13
^uu$	uː	1
ũũ$	ũ	2
^u	u	10
d$	d	5
ʔw	ʔw/ˀw	4
ʔ$	ʔ	6
^ks	k s	3
ɛɛ	ɛː	14
^h	h	5
ph	ph/pʰ	2
ɸ$	ɸ	1
s$	s	10
β	β	6
^i	i	6
ĩ	ĩ	5
aa$	aː	2
tw	t w	1
ɸ	ɸ	1
ãã$	ãː	3
th	th/tʰ	8
^s	s	6
ç	ç	10
ʃ	ʃ	2
ii$	iː	2
kh$	kh/kʰ	3
^ʃ	ʃ	3
f	f	1
^ɛ̃	ɛ̃	1
jʃ	j ʃ	1
ũ$	ũ	2
b$	b	1
jh	jh/j̊	2
ʔs	ʔs/ˀs	1
^ĩ	ĩ	2
^ã	ã	3
tʃh$	tʃh/tʃʰ	2
^ĩĩ	ĩː	2
^v	v	1
ʔh	ʔh/ʔʰ	3
hw	hw/hʷ	2
ĩ$	ĩ	2
uu$	uː	1
^ɲ	ɲ	2
ŋ	ŋ	2
g	g	2
^pʃ	p ʃ	1
ks	k s	2
^ɛ̃ɛ̃	ɛ̃ː	1
^ɺ	ɺ	3
^tʃh	tʃʰ	2
tʃh	tʃh/tʃʰ	2
e$	e	2
ʔʃ$	ʔʃ/ˀʃ	5
jh$	jh/j̊	1
m$	m	2
^mh	mh/m̥	1
ã$	ã	1
