Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		286	NULL	s_nnəʒ;θiggwði;awan;marra;marrɣa
$	NULL		319	NULL	s_nnəʒ;θiggwði;awan;lhawa;marra
a	a	A	304	151	awan;awan;lhawa;lhawa;marra
f	f	B	22	10	θikəðʔfətʔ;tʔtʔaf;ħfa;arr_nnəfs;fajəðʔ
β	β	B	19	10	qβəɾ;aβarʃan;aʒəʕβuβ;aʒəʕβuβ;βaðʔ
ff	fː	B	2	1	ssnuffa;uff
^ts	ts	C	1	1	tsʕa
ð	ð	D	61	42	θiggwði;θikəðʔfətʔ;iɣɣəð;aʒðʔiðʔ;aʒðʔiðʔ
θ	θ	D	67	6	θiggwði;θikəðʔfətʔ;arriməθ;mməθ;θaʕəʒʒaʃθ
ə	ə	E	150	148	s_nnəʒ;θikəðʔfətʔ;θikəðʔfətʔ;iɣɣəð;wa_jəħɾi
x	x	G	10	1	xsʔa;ʃʃuxɾəðʔ;xatʃi;xatʃi;xatʃi
ɣ	ɣ	G	21	6	marrɣa;ɣiɾ;ɣiɾ;iɣəss;adʒdʒəɣ
xx	xx/xː	G	2	2	ɾəxxu;ddəxxan
ɣɣ	ɣɣ/ɣː	G	1	1	iɣɣəð
^xw	xw/xʷ	G	1	1	xwa
h	h	H	2	2	nnha;nihni
ħ	ħ	H	23	10	lħajawan;wa_jəħɾi;ħfa;aħənʒia;ħaj
ʔ	ʔ	H	86	63	θikəðʔfətʔ;θikəðʔfətʔ;tʔtʔaf;tʔtʔaf;aməqqrʔan
ʕ	ʕ	H	21	9	aʕrua;aʕəddis;aʒəʕβuβ;θaʕəʒʒaʃθ;arrβiʕ
i	i	I	136	63	θiggwði;θiggwði;θikəðʔfətʔ;ɣiɾ;ɣiɾ
j	j	J	32	21	lħajawan;wa_jəħɾi;azijza;asijnu;fajəðʔ
jj	jː	J	17	17	aqəjjua;θajjawθ;θajjawθ;θajjawθ;θajjawθ
k	k	K	2	1	θikəðʔfətʔ;kənniw
q	q	K	12	6	qβəɾ;ħðʔəq;qsəħ;aqəjjua;ðqəɾ
^g	g	K	1	1	gða
g$	g	K	2	2	amazʔag;aməzðag
gg	gː	K	3	3	θiggwði;azəggwaɣ;asəggwas
