Grapheme	IPA	SCA	Frequency
^j̃	j̃	J	53
^k	k	K	27
^kw	kw/k w	K W	33
^kwkw	kwkw/kʷː	K	1
^kws	kw/kʷ s	K S	2
^m	m	M	40
^n	n	N	56
^p	p	P	18
^s	s	S	20
^t	t	T	18
^ɾ	ɾ	R	26
^ʃ	ʃ	S	15
_	+	_	10
a	a	A	232
a$	a	A	140
aa	aː	A	44
aa$	aː	A	10
e	e	E	46
e$	e	E	7
ee	eː	E	14
ee$	eː	E	1
i	i	I	211
i$	i	I	20
ii	iː	I	12
j	j	J	33
j̃	j̃	J	71
j̃$	j̃	J	1
k	k	K	67
kw	kw/k w	K W	69
kw$	kw/kʷ	K	3
m	m	M	25
n	n	N	144
o	o	U	57
o$	o	U	19
oo	oː	U	4
oo$	oː	U	1
p	p	P	7
s	s	S	23
t	t	T	51
u	u	Y	74
u$	u	Y	105
uu	uː	Y	18
uu$	uː	Y	2
w	w	W	9
ɾ	ɾ	R	62
ʃ	ʃ	S	15
