Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		219	NULL	avori;pasi;dore;bera;bera
$	NULL		218	NULL	avori;pasi;dore;bera;bera
a	a	A	202	139	avori;pasi;bera;bera;aivu
aa$	aː	A	1	1	rapaa
v	v	B	26	25	avori;aivu;buvio;taneva;keva
e	e	E	105	51	dore;bera;bera;kebonggomboro;pame
i	i	I	128	55	avori;pasi;aivu;pita;mani
j	j	J	9	7	juambi;ji;mambajo;metajo;dovorajo
g	g	K	1	1	mangamba
k	k	K	47	27	kebonggomboro;taka;kekombo;kekombo;make
gg	gː	K	4	4	kebonggomboro;paingge;manggai;manggai
m	m	M	102	52	kebonggomboro;mani;pame;mamani;mamani
n	n	N	83	42	kebonggomboro;mani;mamani;nue;akuni
b	b	P	38	16	bera;bera;kebonggomboro;kebonggomboro;juambi
p	p	P	38	20	pasi;pita;pame;pere;pere
r	r	R	48	44	avori;dore;bera;bera;kebonggomboro
s	s	S	12	9	pasi;ansora;mamasi;berasu;waiseno
d	d	T	25	11	dore;da;damo;bururandi;daran
t	t	T	53	41	taka;pita;ketutu;ketutu;atino
o	o	U	69	34	avori;dore;kebonggomboro;kebonggomboro;kebonggomboro
w	w	W	25	9	waro;wai;ndowa;wanditi_wonti;wanditi_wonti
u	u	Y	42	31	aivu;juambi;nue;ketutu;ketutu
_	+	_	4	4	wanditi_wonti;wanditi_wati;wanditi_waitiso;wanditi_waiseno
