Grapheme	IPA	SCA	Frequency
^c	c	C	20
^cʼ	cʼ	C	3
^h	h	H	23
^j	j	J	7
^k	k	K	24
^kʼ	kʼ	K	3
^l	l	L	9
^m	m	M	24
^n	n	N	13
^p	p	P	44
^q	q	K	19
^qʼ	qʼ	K	1
^s	s	S	20
^t	t	T	31
^tʼ	tʼ	T	1
^w	w	W	26
^æ	æ	E	1
^ɬ	ɬ	L	1
^ʔ	ʔ	H	69
^χ	χ	G	4
_	+	_	7
a	a	A	126
a$	a	A	20
aa	aː	A	39
aa$	aː	A	1
c	c	C	22
c$	c	C	19
cw	c w	C W	1
cʼ	cʼ	C	4
h	h	H	9
j	j	J	40
j$	j	J	15
j̰	j̰	J	4
j̰s$	j̰ s	J S	1
k	k	K	35
k$	k	K	8
ks	k s	K S	7
ks$	k s	K S	1
kw	kw/k w	K W	2
kʼ	kʼ	K	7
kʼ$	kʼ	K	1
l	l	L	49
l$	l	L	7
ll	ll/lː	L	2
lw	l w	L W	1
l̰	l̰	L	1
m	m	M	31
m$	m	M	14
ms	m s	M S	1
m̰	m̰	M	5
m̰$	m̰	M	1
n	n	N	24
n$	n	N	14
n̪̰	n̪̰	N	4
n̪̰$	n̪̰	N	4
p	p	P	33
p$	p	P	13
ps	p s	P S	5
ps$	p s	P S	4
pʼ	pʼ	P	2
q	q	K	40
q$	q	K	20
qq	qq/qː	K	1
qs	q s	K S	1
qs$	q s	K S	1
qʼ	qʼ	K	10
r	r	R	1
r$	r	R	2
rw	r w	R W	1
s	s	S	25
s$	s	S	36
sw	s w	S W	2
t	t	T	47
t$	t	T	36
ts$	ts	C	1
tt	tt/tː	T	2
tw	t w	T W	3
tʼ	tʼ	T	13
w	w	W	17
w$	w	W	8
ws$	w s	W S	1
w̰	w̰	W	3
w̰$	w̰	W	1
x	x	G	7
x$	x	G	21
xs	x s	G S	3
xw	xw/xʷ	G	1
æ	æ	E	104
æ$	æ	E	26
ææ	æː	E	57
ææ$	æː	E	1
ɔ	ɔ	U	21
ɔ$	ɔ	U	3
ɔɔ	ɔː	U	13
ɔɔ$	ɔː	U	1
ɪ	ɪ	I	164
ɪ$	ɪ	I	21
ɪɪ	ɪː	I	40
ɪɪ$	ɪː	I	10
ɯ	ɯ	I	37
ɯ$	ɯ	I	5
ɯɯ	ɯː	I	20
ɯɯ$	ɯː	I	5
ʔ	ʔ	H	20
ʔ$	ʔ	H	5
ʔs$	ʔs/ˀs	S	3
χ	χ	G	13
χ$	χ	G	12
χs	χ s	G S	4
χs$	χ s	G S	1
χw	χw/χʷ	G	1
