Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		213	NULL	n̪umami;suŋgu;n̪a;n̪agi;kn̪i
$	NULL		224	NULL	n̪umami;suŋgu;n̪a;n̪agi;kn̪i
a	a	A	224	108	n̪umami;n̪a;n̪agi;d̪aki;walat̪apa
f	f	B	40	32	afat̪u;fo̞fo̞;fo̞fo̞;d̪afuhu;fi
e̞	e̞	E	26	20	t̪it̪e̞;hwe̞la;re̞wambi;hje̞mla;e̞fu
h	h	H	44	13	hai_ko̞ko̞;gihjamu;hambala;hlua;d̪afuhu
hw	hw/hʷ	H	1	1	hwahwa
^hw	hʷ	H	12	12	hwe̞la;hwambo̞;hwila;hwalfe̞hima;hwan̪i
i	i	I	108	34	n̪umami;n̪agi;kn̪i;d̪aki;hai_ko̞ko̞
ɨ$	ɨ	I	1	1	aran̪ɨ
j	j	J	28	16	gihjamu;kjau;hje̞mla;jan̪in̪o̞ma;jafle̞i
g	g	K	20	9	suŋgu;n̪agi;gihjamu;gihalfi;iŋgin̪ambo̞
k	k	K	19	13	kn̪i;d̪aki;hai_ko̞ko̞;hai_ko̞ko̞;kjau
q	q	K	4	4	d̪o̞qo̞ra;d̪o̞qo̞ra;d̪o̞qo̞ra;d̪o̞qo̞ra
l	l	L	57	55	walat̪apa;hwe̞la;hambala;n̪umbala;hlua
m	m	M	65	56	n̪umami;n̪umami;gihjamu;hwambo̞;hambala
ŋ	ŋ	N	10	10	suŋgu;n̪umuŋgwa;iŋgin̪ambo̞;jaŋgla;ruŋgu
n̪	n̪	N	62	40	n̪umami;n̪a;n̪agi;kn̪i;n̪umbala
b	b	P	38	21	hwambo̞;hambala;re̞wambi;bukwa;n̪umbala
p	p	P	16	10	walat̪apa;we̞pi;iplwa;pi;bapli
r	r	R	20	17	re̞wambi;aran̪ɨ;se̞r;barala;amria
s	s	S	31	4	suŋgu;same̞fi;sa;sumban̪i;simi
d̪	d̪	T	14	3	d̪aki;d̪afuhu;d̪an̪i;d̪la;walad̪aki
t̪	t̪	T	40	27	walat̪apa;t̪it̪e̞;t̪it̪e̞;afat̪u;t̪u
o̞	o̞	U	52	33	hai_ko̞ko̞;hai_ko̞ko̞;hwambo̞;fo̞fo̞;fo̞fo̞
w	w	W	18	4	walat̪apa;re̞wambi;we̞pi;walalu;t̪ikjawi
u	u	Y	95	54	n̪umami;suŋgu;suŋgu;gihjamu;afat̪u
_	+	_	3	3	hai_ko̞ko̞;pe̞t̪wa_jan̪i;pe̞t̪wa_an̪gwag
gw	gw/g w	K W	3	3	n̪umuŋgwa;pe̞t̪wa_an̪gwag;huŋgwa
kw	kw/k w	K W	7	6	bukwa;ho̞mbakwala;imbalkwa;fan̪kwe̞k;bakwa
