Grapheme	IPA	SCA	Frequency
^a	a	A	10
^aa	aː	A	2
^h	h	H	9
^i	i	I	61
^ii	iː	I	1
^k	k	K	17
^l	l	L	21
^m	m	M	18
^n	n	N	3
^o	o	U	2
^p	p	P	23
^q	q	K	14
^s	s	S	28
^t	t	T	32
^ts	ts	C	11
^tʃ	tʃ	T	19
^uu	uː	Y	3
^x	x	G	3
^y	j	J	1
^z	z	S	2
^ɬ	ɬ	L	11
^ʃ	ʃ	S	13
_	+	_	12
a	a	A	231
a$	a	A	28
aa	aː	A	78
aa$	aː	A	2
e	e	E	13
e$	e	E	2
ee	eː	E	13
h	h	H	17
i	i	I	120
i$	i	I	5
ii	iː	I	36
ii$	iː	I	6
k	k	K	69
k$	k	K	13
ks	k s	K S	3
kʃ	k ʃ	K S	3
l	l	L	26
m	m	M	30
m$	m	M	2
n	n	N	97
n$	n	N	64
o	o	U	28
o$	o	U	2
oo	oː	U	5
oo$	oː	U	1
p	p	P	38
p$	p	P	8
q	q	K	68
q$	q	K	5
qs	q s	K S	3
qʃ	q ʃ	K S	7
r	r	R	1
s	s	S	14
s$	s	S	2
t	t	T	82
t$	t	T	37
ts	ts	C	27
tʃ	tʃ	T	12
u	u	Y	115
u$	u	Y	14
uu	uː	Y	21
uu$	uː	Y	3
x	x	G	17
x$	x	G	15
y	j	Y	6
y$	j	Y	2
z	z	S	1
ɬ	ɬ	L	27
ɬ$	ɬ	L	5
ɬʃ	ɬ ʃ	L S	1
ʃ	ʃ	S	18
ʃ$	ʃ	S	1
ʔ	ʔ	H	172
ʔ$	ʔ	H	86
ʔh	ʔh/ʔʰ	H	8
ʔʃ$	ʔʃ/ˀʃ	S	1
