Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		240	NULL	wibo;maga;tigi_dali;posobo;sagadu
$	NULL		264	NULL	wibo;maga;tigi_dali;posobo;hasa
a	a	A	292	170	maga;maga;tigi_dali;hasa;hasa
e	e	E	119	73	gese_jai_nai;gese_jai_nai;ajenu;pagede;pagede
^h	h	H	15	15	hasa;habo;husugu;husugu;hogomu
i	i	I	149	75	wibo;tigi_dali;tigi_dali;tigi_dali;dwai
j	j	J	13	9	gese_jai_nai;ajenu;tobai_jai;jowi;jabe_tigi_pwai
g	g	K	89	75	maga;tigi_dali;sagadu;nogo;nogo
^k	k	K	9	9	kanome;kidu;konego;kemi;kone_palobo
l	l	L	60	60	tigi_dali;dili;tolobo;giligade;olo
m	m	M	65	51	maga;kanome;ame;hogomu;anaga_olama_mebadu_sela
n	n	N	66	45	nogo;nogo;gese_jai_nai;nasi;ajenu
b	b	P	101	83	wibo;posobo;bau;ba;habo
p	p	P	28	8	posobo;pagede;puna_pabo;puna_pabo;po
s	s	S	74	54	posobo;hasa;sagadu;gese_jai_nai;nasi
d	d	T	73	51	tigi_dali;sagadu;dwai;pagede;dili
t	t	T	23	2	tigi_dali;tigi;tolobo;tobai_jai;tubo
o	o	U	162	89	wibo;posobo;posobo;posobo;nogo
w	w	W	50	34	wibo;dwai;susugo_wabo;susugo_wabo;geda_wabo
u	u	Y	107	82	sagadu;bau;ajenu;genuai;husugu
_	+	_	89	89	tigi_dali;gese_jai_nai;gese_jai_nai;puna_pabo;siago_dabo
gw	gw/g w	K W	3	3	ogwa_wai;ogwa;ogwa
