Grapheme	IPA	SCA	Frequency
^a	a	A	1
^b	b	P	41
^d	d	T	24
^g	g	K	62
^h	h	H	1
^j	j	J	14
^l	l	L	15
^m	m	M	20
^n	n	N	2
^w	w	W	36
^ŋ	ŋ	N	25
^ɟ	ɟ	C	47
^ɲ	ɲ	N	6
^ɻ	ɻ	R	1
_	+	_	4
a	a	A	283
a$	a	A	97
aa	aː	A	3
b	b	P	71
b$	b	P	6
d	d	T	21
d$	d	T	1
g	g	K	102
g$	g	K	6
i	i	I	184
i$	i	I	74
j	j	J	44
j$	j	J	10
l	l	L	77
l$	l	L	5
m	m	M	52
m$	m	M	7
n	n	N	52
n$	n	N	2
nn	nn/nː	N	1
o$	o	U	1
r	r	R	74
r$	r	R	6
u	u	Y	159
u$	u	Y	61
w	w	W	13
w$	w	W	4
ŋ	ŋ	N	32
ŋ$	ŋ	N	2
ɖ	ɖ	T	46
ɖ$	ɖ	T	2
ɟ	ɟ	C	68
ɟ$	ɟ	C	9
ɭ	ɭ	L	14
ɲ	ɲ	N	20
ɲ$	ɲ	N	2
ɳ	ɳ	N	44
ɻ	ɻ	R	8
