Grapheme	IPA	Frequency
^t	t	15
e	e	67
ɾ	ɾ	97
_	+	50
h	h	66
ə	ə	15
m$	m	8
^k	k	20
i	i	141
i$	i	75
^j	j	38
a	a	146
p	p	39
^h	h	27
ɯ	ɯ	38
ʃ	ʃ	28
m	m	45
k$	k	29
õ	õ	5
o	o	76
^w	w	20
aa	aː	19
j	j	75
e$	e	99
o$	o	29
^p	p	50
k	k	50
ɯ$	ɯ	7
p$	p	9
ã	ã	31
s	s	27
t	t	33
ee	eː	3
n$	n	1
ə$	ə	5
oo	oː	1
a$	a	41
^s	s	4
^ɯ	ɯ	8
^ĩ	ĩ	6
th	th/tʰ	20
ɯ̃$	ɯ̃	1
^th	th/tʰ	28
ẽ	ẽ	2
^ɾ	ɾ	16
^ɯ̃	ɯ̃	3
^õ	õ	2
^ʃ	ʃ	24
^o	o	5
ɯ̃	ɯ̃	3
^m	m	13
ĩ	ĩ	9
^ã	ã	1
^n	n	14
mh	mh/m̥	1
kʃ	k ʃ	1
õ$	õ	1
^e	e	1
w	w	15
n	n	14
^i	i	2
^a	a	11
ʃ$	ʃ	1
^ɯ$	ɯ	1
aa$	aː	1
ə̃	ə̃	1
ii	iː	1
ã$	ã	1
