Grapheme	IPA	SCA	Frequency
^a	a	A	3
^b	b	P	8
^c	c	C	1
^d	d	T	5
^e	e	E	11
^g	g	K	8
^i	i	I	6
^j	j	J	7
^k	k	K	56
^l	l	L	4
^m	m	M	21
^n	n	N	14
^o	o	U	2
^p	p	P	13
^r	r	R	9
^s	s	S	12
^t	t	T	41
^u	u	Y	3
^u$	u	Y	4
^w	w	W	7
^ɔ	ɔ	U	3
^ɛ	ɛ	E	6
_	+	_	17
a	a	A	172
a$	a	A	29
b	b	P	12
c	c	C	10
d	d	T	6
e	e	E	32
e$	e	E	4
g	g	K	12
gg	gː	K	1
h	h	H	2
h$	h	H	1
i	i	I	52
i$	i	I	5
j	j	J	3
k	k	K	23
k$	k	K	18
l	l	L	27
l$	l	L	10
m	m	M	34
m$	m	M	14
n	n	N	38
n$	n	N	72
ns	n s	N S	1
o	o	U	17
o$	o	U	3
p	p	P	9
p$	p	P	12
r	r	R	48
r$	r	R	26
rs	r s	R S	1
s	s	S	17
s$	s	S	13
t	t	T	23
t$	t	T	7
u	u	Y	82
u$	u	Y	6
w	w	W	6
ŋ	ŋ	N	11
ŋ$	ŋ	N	9
ɑ	ɑ	A	10
ɔ	ɔ	U	43
ɔ$	ɔ	U	3
ɛ	ɛ	E	32
ɛ$	ɛ	E	8
ɪ	ɪ	I	6
