Grapheme	IPA	SCA	Frequency
^a	a	A	124
^b	b	P	11
^d	d	T	11
^g	g	K	5
^i	i	I	8
^i$	i	I	1
^ii$	iː	I	1
^k	k	K	18
^l	l	L	4
^m	m	M	22
^n	n	N	9
^p	p	P	9
^r	r	R	1
^s	s	S	15
^t	t	T	20
^u	u	Y	4
^ŋ	ŋ	N	6
^ɣ	ɣ	G	12
^ɹ	ɹ	R	5
^β	β	B	16
_	+	_	36
a	a	A	156
a$	a	A	60
b	b	P	13
d	d	T	20
g	g	K	54
i	i	I	90
i$	i	I	60
j	j	J	2
k	k	K	56
k$	k	K	25
l	l	L	61
l$	l	L	9
m	m	M	60
m$	m	M	18
n	n	N	52
n$	n	N	13
p	p	P	12
p$	p	P	10
r	r	R	55
r$	r	R	16
s	s	S	39
s$	s	S	20
t	t	T	14
t$	t	T	31
u	u	Y	94
u$	u	Y	5
ŋ	ŋ	N	58
ŋ$	ŋ	N	18
ɔ	ɔ	U	26
ɔ$	ɔ	U	9
ə	ə	E	166
ə$	ə	E	5
ɛ	ɛ	E	72
ɛ$	ɛ	E	1
ɣ	ɣ	G	66
ɪ	ɪ	I	7
ɹ	ɹ	R	42
ɾ	ɾ	R	1
β	β	B	38
