Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		325	NULL	aɾiwa;tinoka;haiɬe;ɓaɾa;sutuka
$	NULL		324	NULL	aɾiwa;tinoka;haiɬe;ɓaɾa;sutuka
a	a	A	365	218	aɾiwa;aɾiwa;tinoka;haiɬe;ɓaɾa
v	v	B	1	1	tuuvus
β	β	B	17	14	βeʔeβus;βeʔeβus;haβuɬna;suβu;taβaloɓakwani
e	e	E	103	72	haiɬe;tʃiheɬ;βeʔeβus;βeʔeβus;umʔɓe
ee$	eː	E	2	2	nosdee;nosdee
h	h	H	61	20	haiɬe;tʃiheɬ;hiɾanni;hasɬawanɾa;hoʔme
ʔ	ʔ	H	85	74	βeʔeβus;umʔɓe;toɓenʔkwa;janʔlo;meɾeʔe
ʔh	ʔh/ʔʰ	H	1	1	laʔhemes
i	i	I	199	111	aɾiwa;tinoka;haiɬe;popoikwa;tʃiheɬ
j	j	J	54	24	janʔlo;ɗitʃije;hajau;ɓejas;hiji
k	k	K	68	51	tinoka;sutuka;ɬoukateʔe;hiloka;kusi
l	l	L	50	37	janʔlo;alpanɬe;lamʔna;loɓaɓa;taβaloɓakwani
ɬ	ɬ	L	44	31	haiɬe;tʃiheɬ;hasɬawanɾa;alpanɬe;haβuɬna
m	m	M	43	30	umʔɓe;mosisi;meɾeʔe;hoʔme;lamʔna
mm	mm/mː	M	2	2	hemme;ɗimmokwa
n	n	N	154	136	tinoka;toɓenʔkwa;hasɬawanɾa;janʔlo;alpanɬe
nn	nn/nː	N	5	5	hiɾanni;tunni;tinno;hanne;tinnonaʔa
p	p	P	27	14	popoikwa;popoikwa;alpanɬe;peɾesɬeʔe;penʔna
ɓ	ɓ	P	38	14	ɓaɾa;ɓosakwa;ɓosakwa;umʔɓe;toɓenʔkwa
^b	b	P	1	1	bakwakwa
ɾ	ɾ	R	53	47	aɾiwa;ɓaɾa;hiɾanni;ɓuɾaɗa;hasɬawanɾa
s	s	S	65	37	sutuka;ɓosakwa;ɓosakwa;βeʔeβus;mosisi
d	d	T	2	2	nosdee;nosdee
t	t	T	44	15	tinoka;sutuka;toɓenʔkwa;tunni;taβaloɓakwani
ɗ	ɗ	T	50	17	ɗuɗukwa;ɗuɗukwa;ɓuɾaɗa;ɗonʔi;ɗitʃije
tʃ	tʃ	T	41	24	tʃiheɬ;ɗitʃije;tʃahkwa;tʃonlo;tʃoesni
o	o	U	170	118	tinoka;popoikwa;popoikwa;ɓosakwa;ɓosakwa
w	w	W	24	16	aɾiwa;hasɬawanɾa;hiwawa;hiwawa;howokwa
u	u	Y	80	60	sutuka;sutuka;βeʔeβus;ɗuɗukwa;ɗuɗukwa
uu	uː	Y	1	1	tuuvus
kw	kw/k w	K W	55	51	popoikwa;ɓosakwa;ɓosakwa;ɗuɗukwa;toɓenʔkwa
