Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		314	NULL	aaɸe;xakɨɾuite;ieɾnei;aɨɸɨ;na
$	NULL		323	NULL	aaɸe;xakɨɾuite;ieɾnei;aɨɸɨ;na
_$	NULL		1	1	iaɨɾei_
a	a	A	245	172	xakɨɾuite;aɨɸɨ;na;okaina;okaina
aa	aː	A	3	1	aaɸe;nagaamaga;aado
ɸ	ɸ	B	44	29	aaɸe;aɨɸɨ;ɸekakaiɾo;ɸekakaiɾo;xuseɸo
β	β	B	2	2	ɸɨβui;naβui_aɾe
c	c	C	2	1	ceme;tɾoca
ɟ	ɟ	C	29	25	aɨɟue;siɟi;iɟaikɨ;uiɟɨe;eɨɟɨmo_dakaɨ
e	e	E	274	98	aaɸe;xakɨɾuite;ieɾnei;ieɾnei;ɸekakaiɾo
ee	eː	E	2	1	eede;meeɾe
x	x	G	56	8	xakɨɾuite;xuseɸo;xeaɾe;xiɾa;xaie
i	i	I	186	127	xakɨɾuite;ieɾnei;ieɾnei;okaina;ɸekakaiɾo
ɨ	ɨ	I	155	106	xakɨɾuite;aɨɸɨ;aɨɸɨ;ɾakɨɲo;igoɾaɨ
ii	iː	I	1	1	ɟiide
^ɨɨ	ɨː	I	9	1	ɨɨde;ɨɨ;ɨɨ;ɨɨ;ɨɨ
g	g	K	22	19	igoɾaɨ;xogobe;guite;xɨgɨ;nagaamaga
k	k	K	75	58	xakɨɾuite;okaina;ɾakɨɲo;ɸekakaiɾo;ɸekakaiɾo
l	l	L	1	1	palpaɾ_x_etooe
m	m	M	72	55	emodo;mokoɾede;ceme;maɾe;aɾemona
n	n	N	90	74	ieɾnei;na;okaina;ɸenaɨ;ana
ɲ	ɲ	N	25	24	ɾakɨɲo;ɾaitɨkɨɲo;kaiɲɨkɨ_ɨɸo;uiɲote;ɲɨtade
b	b	P	43	25	ebiɾe;abɨ;xogobe;boode;bite
p	p	P	2	1	palpaɾ_x_etooe;palpaɾ_x_etooe
ɾ	ɾ	R	96	84	xakɨɾuite;ieɾnei;ɾakɨɲo;ɸekakaiɾo;ɸekakaiɾo
s	s	S	53	47	xuseɸo;siɟi;ɾosiɾuite;ɾaɨse;saɸeɾede
d	d	T	84	72	emodo;aɸekodo;dɨɾue;ɸiɾaide;mokoɾede
t	t	T	45	39	xakɨɾuite;aɨniɾite;xitɨɾe;xaɸaikɨ_ote;uite
o	o	U	146	82	okaina;ɾakɨɲo;ɸekakaiɾo;ɸekakaiɾo;xuseɸo
oo	oː	U	5	2	boode;idoo;palpaɾ_x_etooe;moo;moo
u	u	Y	72	48	xakɨɾuite;xuseɸo;aɨɟue;dɨɾue;uite
^uu	uː	Y	1	1	uuɾago
_	+	_	24	24	xaɸaikɨ_ote;aneɸebeimo_dakaɨ_amani;aneɸebeimo_dakaɨ_amani;eɨɟɨmo_dakaɨ;ibekona_xaide
