Grapheme	IPA	SCA	Frequency
^I	I/i	I	1
^a	a	A	13
^aa	aː	A	5
^b	b	P	12
^d	d	T	33
^e̞	e̞	E	7
^g	g	K	6
^h	h	H	2
^ii	iː	I	1
^ii$	iː	I	1
^j	j	J	24
^kh	kʰ	K	12
^kʼ	kʼ	K	11
^n	n	N	31
^o̞	o̞	U	2
^s	s	S	6
^th	th/tʰ	T	19
^ts	ts	C	31
^tsh	tsh/tsʰ	C	19
^tʼ	tʼ	T	17
^tʼsʼ	tsʼ	T	20
^tʼsʼ$	tsʼ	T	2
^u	u	Y	5
^z	z	S	7
^ɢ	ɢ	K	6
^ɬ	ɬ	L	5
^ɮ	ɮ	L	8
^ʁ	ʁ	R	18
^ʍ	ʍ	M	2
^ʔ	ʔ	H	2
^χ	χ	G	3
_	+	_	12
a	a	A	128
a$	a	A	8
aa	aː	A	47
aa$	aː	A	13
b	b	P	4
d	d	T	41
e̞	e̞	E	162
e̞$	e̞	E	82
g	g	K	3
h	h	H	2
h$	h	H	3
i	i	I	26
i$	i	I	21
ii	iː	I	14
ii$	iː	I	4
j	j	J	22
j$	j	J	16
kh	kh/kʰ	K	6
kh$	kh/kʰ	K	4
kʼ	kʼ	K	18
kʼ$	kʼ	K	3
n	n	N	50
n$	n	N	24
nn$	nn/nː	N	1
ns	n s	N S	2
o̞	o̞	U	32
s	s	S	9
s$	s	S	13
th	th/tʰ	T	13
th$	th/tʰ	T	10
ts	ts	C	6
ts$	ts	C	5
tsh	tsh/tsʰ	C	10
tsh$	tsh/tsʰ	C	4
tʼ	tʼ	T	16
tʼ$	tʼ	T	7
tʼsʼ	tsʼ	T	20
tʼsʼ$	tsʼ	T	5
u	u	Y	17
u$	u	Y	2
uu	uː	Y	12
uu$	uː	Y	1
z	z	S	36
z$	z	S	1
ŋh	ŋh/ŋ̊	N	2
ɢ	ɢ	K	10
ɬ	ɬ	L	7
ɬ$	ɬ	L	2
ɬh$	ɬh/ɬ̥	L	1
ɬʼ	ɬʼ	L	8
ɬʼ$	ɬʼ	L	4
ɮ	ɮ	L	24
ɮ$	ɮ	L	8
ʁ	ʁ	R	12
ʁ$	ʁ	R	3
ʍ	ʍ	M	1
ʔ	ʔ	H	33
ʔ$	ʔ	H	78
χ	χ	G	1
χ$	χ	G	5
