Grapheme	IPA	SCA	Frequency
^a	a	A	6
^b	b	P	22
^d	d	T	12
^g	g	K	7
^i	i	I	8
^j	j	J	9
^k	k	K	41
^m	m	M	23
^n	n	N	30
^o	o	U	20
^s	s	S	22
^t	t	T	16
^tʃ	tʃ	T	2
^u	u	Y	10
^w	w	W	16
^ŋ	ŋ	N	10
^ɣ	ɣ	G	7
^ɲ	ɲ	N	15
^ɸ	ɸ	B	10
^ɾ	ɾ	R	6
^ʔ	ʔ	H	12
^β	β	B	1
_	+	_	74
a	a	A	117
b	b	P	38
b$	b	P	19
d	d	T	17
d$	d	T	12
e	e	E	61
e$	e	E	49
g	g	K	39
g$	g	K	11
gg$	gː	K	2
i	i	I	105
i$	i	I	81
j	j	J	18
k	k	K	15
m	m	M	73
m$	m	M	23
n	n	N	67
n$	n	N	3
o	o	U	59
o$	o	U	32
r	r	R	1
s	s	S	16
s$	s	S	3
t	t	T	16
t$	t	T	4
tʃ	tʃ	T	1
u	u	Y	99
u$	u	Y	33
w	w	W	35
w$	w	W	5
z	z	S	11
z$	z	S	2
ŋ	ŋ	N	20
ɣ	ɣ	G	8
ɨ	ɨ	I	1
ɲ	ɲ	N	14
ɲ$	ɲ	N	5
ɸ	ɸ	B	11
ɸ$	ɸ	B	3
ɾ	ɾ	R	60
ɾ$	ɾ	R	9
ʔ	ʔ	H	28
ʔ$	ʔ	H	9
β	β	B	4
