Grapheme	IPA	SCA	Frequency
^a	a	A	15
^a$	a	A	1
^b	b	P	72
^d	d	T	27
^e	e	E	3
^g	g	K	28
^i	i	I	2
^j	j	J	14
^k	k	K	14
^o	o	U	11
^p	p	P	9
^t	t	T	25
^w	w	W	39
^ã	ã	A	2
^ã$	ã	A	1
^æ	æ	E	6
^æ̃	æ̃	E	5
^æ̃æ̃	æ̃ː	E	1
^æ̃æ̃$	æ̃ː	E	1
^õ	õ	U	44
^õõ	õ	U	2
^ĩ	ĩ	I	2
^ĩĩ	ĩː	I	2
^ẽ	ẽ	E	4
_	+	_	100
a	a	A	85
a$	a	A	31
aa	aː	A	2
aa$	aː	A	4
b	b	P	113
d	d	T	144
e	e	E	25
e$	e	E	29
g	g	K	91
i	i	I	64
i$	i	I	13
ii	iː	I	1
j	j	J	74
k	k	K	85
o	o	U	80
o$	o	U	27
oo	oː	U	1
p	p	P	53
t	t	T	50
w	w	W	33
ã	ã	A	58
ã$	ã	A	48
ãã	ãː	A	1
æ	æ	E	21
æ$	æ	E	29
ææ$	æː	E	1
ææ̃	ææ̃/æ̃ː	E	1
æ̃	æ̃	E	85
æ̃$	æ̃	E	55
æ̃æ̃	æ̃ː	E	1
æ̃æ̃$	æ̃ː	E	1
õ	õ	U	114
õ$	õ	U	50
õõ	õ	U	1
õõ$	õ	U	1
ĩ	ĩ	I	44
ĩ$	ĩ	I	15
ĩĩ	ĩː	I	1
ĩĩ$	ĩː	I	4
ẽ	ẽ	E	54
ẽ$	ẽ	E	19
