Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		304	NULL	ijana;maɾaɾima;pelen;wuiŋtru;atataɾi
$	NULL		303	NULL	ijana;maɾaɾima;pelen;wuiŋtru;atataɾi
a	a	A	439	286	ijana;ijana;maɾaɾima;maɾaɾima;maɾaɾima
c	c	C	55	32	kacilan;kulcakulca;kulcakulca;cuŋkuŋa;cuwin
ɟ	ɟ	C	1	1	meɟeɾi_eɾi
e	e	E	54	39	pelen;pelen;elku;lewaɾa;aŋulalijen
i	i	I	186	109	ijana;maɾaɾima;wuiŋtru;atataɾi;kacilan
j	j	J	36	23	ijana;ŋoj;aŋulalijen;ajapan;kejŋa
k	k	K	91	59	malko;anaoku;anaoku;kona;kacilan
l	l	L	121	92	pelen;malko;kacilan;laŋataŋata;imalala
ɭ	ɭ	L	6	2	tuɭi;apaɭ;awaɭ;katuɭkatuɭ;katuɭkatuɭ
ʎ	ʎ	L	3	3	aʎa;aʎa;caʎa
ll$	ll/lː	L	1	1	kull
m	m	M	112	64	maɾaɾima;maɾaɾima;malko;imalala;kalamunti
n	n	N	129	84	ijana;pelen;anaoku;anaoku;kona
ŋ	ŋ	N	91	71	wuiŋtru;laŋataŋata;laŋataŋata;amuŋul;wataŋɾaɾ
ɲ	ɲ	N	22	13	ɲamaɾut;ɲimaŋaɾi;miɲi;miɲi;ɲampala
ɳ	ɳ	N	3	3	kaɳki;amilɳpimilɳpi;amilɳpimilɳpi
p	p	P	76	41	pelen;ampala;pu;tuput;kupan
r	r	R	14	9	wuiŋtru;onar;elar;karat;olir
ɻ	ɻ	R	1	1	meɻeɾi
ɾ	ɾ	R	74	69	maɾaɾima;maɾaɾima;atataɾi;anaɾu;wataŋɾaɾ
t	t	T	107	73	wuiŋtru;atataɾi;atataɾi;laŋataŋata;laŋataŋata
ɖ	ɖ	T	3	1	tateɖaɖ;tateɖaɖ;muɖ
o	o	U	32	27	malko;anaoku;anaoku;kona;onar
w	w	W	51	28	wuiŋtru;wataŋɾaɾ;awuŋun;iwawala;iwawala
u	u	Y	149	113	wuiŋtru;wuiŋtru;anaoku;anaoku;anaɾu
_	+	_	11	11	meɟeɾi_eɾi;aŋkunta_ɲinti;aŋkunta_ɲinti;mimi_ɲinti;mimi_ɲinti
