Grapheme	IPA	SCA	Frequency
^c	c	C	4
^ch	ch/tʃ	T	11
^h	h	H	9
^i	i	I	1
^j	j	J	4
^j$	j	J	1
^k	k	K	24
^kh	kʰ	K	3
^l̪	l̪	L	4
^m	m	M	13
^n̪	n̪	N	14
^n̪$	n̪	N	1
^p	p	P	15
^ph	pʰ	P	7
^phw	pʰ w	P W	2
^s	s	S	4
^ts	ts	C	1
^t̪	t̪	T	7
^t̪h	t̪ʰ	T	4
^w	w	W	1
^ŋ	ŋ	N	1
^ʔ	ʔ	H	11
^β	β	B	1
_	+	_	8
a	a	A	57
a$	a	A	25
c	c	C	7
c$	c	C	1
ch	ch/tʃ	T	1
ch$	ch/cʰ	C	1
e̞	e̞	E	24
e̞$	e̞	E	16
h	h	H	5
h$	h	H	3
i	i	I	15
i$	i	I	7
j	j	J	13
j$	j	J	13
k	k	K	12
k$	k	K	2
kh	kh/kʰ	K	2
kh$	kh/kʰ	K	7
l̪	l̪	L	8
l̪$	l̪	L	9
m	m	M	17
m$	m	M	10
n̪	n̪	N	16
n̪$	n̪	N	7
o̞	o̞	U	42
o̞$	o̞	U	7
p	p	P	18
p$	p	P	1
ph	ph/pʰ	P	3
ph$	ph/pʰ	P	2
r	r	R	1
s	s	S	13
s$	s	S	14
ts$	ts	C	3
t̪	t̪	T	6
t̪h	t̪h/t̪ʰ	T	2
u	u	Y	17
u$	u	Y	7
w	w	W	2
ɨ	ɨ	I	20
ɨ$	ɨ	I	1
ɹ	ɹ	R	1
ʔ	ʔ	H	36
ʔ$	ʔ	H	5
β	β	B	3
