Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		232	NULL	kewbu;izrum;pagas;pagas;tibi
$	NULL		233	NULL	nham;kewbu;izrum;pagas;pagas
a	a	A	131	89	nham;pagas;pagas;pagas;pagas
e	e	E	157	129	kewbu;gegur;kikem;kewbu;kem
i	i	I	91	55	izrum;tibi;tibi;kikem;iruser
g	g	K	30	15	pagas;pagas;gegur;gegur;goligoli
k	k	K	55	24	kewbu;kikem;kikem;kewbu;kem
l	l	L	22	13	goligoli;goligoli;lid;goligoli;goligoli
m	m	M	69	21	nham;izrum;kikem;kem;mam
n	n	N	61	12	idoni;nano;nano;bar_ditung;poni
^nh	nh/n̥	N	1	1	nham
b	b	P	64	30	kewbu;tibi;kewbu;ebur;taba
p	p	P	43	14	pagas;pagas;motop;layp;sep
r	r	R	91	45	izrum;sor;gegur;ebur;iruser
s	s	S	29	16	pagas;pagas;sor;iruser;sep
z	z	S	5	5	izrum;azi;i_ezo;buzigbuzig;buzigbuzig
d	d	T	21	10	adud;adud;lid;idoni;bar_ditung
t	t	T	60	27	tibi;ikayret;motop;taba;bar_ditung
o	o	U	33	26	sor;goligoli;goligoli;idoni;nano
w	w	W	34	13	kewbu;kewbu;aw;werem;ewmi
u	u	Y	32	19	kewbu;izrum;adud;gegur;kewbu
y	y	Y	17	13	ikayret;akay;layp;ayswer;batay
_	+	_	5	5	bar_ditung;i_ezo;ng_ager;mamam_mamam;korider_emri
gw	gw/g w	K W	8	8	negwam;negwam;negwam;negwam;negwam
kw	kw/k w	K W	1	1	dikweyredi
