Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		155	NULL	jaŋsotom;homtek;totom;totom;çenek
$	NULL		153	1	jaŋsotom;homtek;totom;totom;çenek
^kw$	kw/kʷ	K	1	1	kw
a	a	A	153	119	jaŋsotom;taru;wjak;tati;homhomniaŋ
aa	aː	A	4	2	maanona;maan;lkaa;paa
ç	ç	C	15	9	çenek;lepuçapnen;çlaka;çetukiçetanen;çetukiçetanen
^ts	ts	C	1	1	tsiʎka
e	e	E	136	90	homtek;çenek;çenek;neu;jewe
h	h	H	11	4	homtek;homhomniaŋ;hoho;hoho;horok
i	i	I	25	21	tati;homhomniaŋ;çetukiçetanen;kitek;eniamanen
j	j	J	28	16	jaŋsotom;wjak;jewe;kojkoj;kojkoj
k	k	K	74	40	homtek;çenek;wjak;kojkoj;kojkoj
kh	kh/kʰ	K	13	12	lkhaj;kwpkhaŋ;puçjamkhakh;puçjamkhakh;ekhaŋ
kk	kk/kː	K	3	3	mlakkati;akkasʎawe;akkasʎawe
^kh	kʰ	K	6	6	khejmen;khotoalteunen;khe;kher;khe
l	l	L	31	15	lepuçapnen;çlaka;ltunkleu;ltunkleu;lkatertekta
ʎ	ʎ	L	22	4	tsiʎka;kiʎet;ʎawe;ʎawe;ʎawe
m	m	M	39	24	jaŋsotom;homtek;totom;totom;homhomniaŋ
mh	mh/m̥	M	1	1	homhomniaŋ
n	n	N	76	44	çenek;neu;homhomniaŋ;mamejenen;mamejenen
ɲ	ɲ	N	11	11	maɲanen;piɲa;piɲa;pekɲakse;pekɲakse
nn	nn/nː	N	2	2	penne;penne
ŋ$	ŋ	N	8	8	homhomniaŋ;lturlturniaŋ;kwpkhaŋ;lkerkerniaŋ;ekhaŋ
p	p	P	40	12	lepuçapnen;lepuçapnen;pejnen;lpuu;topatenen
r	r	R	15	11	taru;lkatertekta;suru;horok;lturlturniaŋ
s	s	S	22	6	suksuk;suksuk;wasa;suru;sakatkanen
t	t	T	74	48	jaŋsotom;homtek;totom;totom;totom
tt	tt/tː	T	1	1	motta
o	o	U	33	30	jaŋsotom;jaŋsotom;homtek;totom;totom
w	w	W	34	26	wjak;jewe;wasa;wese;howe
u	u	Y	45	30	neu;taru;suksuk;suksuk;teujanen
uu$	uː	Y	2	2	lpuu;lpuu
uuu	uuu/uː	Y	1	1	çewarlpuuu
^kw	kw/k w	K W	1	1	kwpkhaŋ
ŋs	ŋ s	N S	1	1	jaŋsotom
