Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		210	NULL	d̪aue̞t̪i;ʃo̞n̪o̞ŋ;hube̞t̪;hait̪iko̞;fo̞ka
$	NULL		223	NULL	d̪aue̞t̪i;ʃo̞n̪o̞ŋ;hube̞t̪;hait̪iko̞;fo̞ka
a	a	A	125	51	d̪aue̞t̪i;hait̪iko̞;fo̞ka;t̪aua;t̪aua
f	f	B	15	10	fo̞ka;l̪e̞ft̪a_d̪o̞ko̞;t̪e̞fe̞n̪e̞;d̪e̞fe̞n̪e̞;fo̞ggo̞
e̞	e̞	E	146	106	d̪aue̞t̪i;hube̞t̪;t̪e̞gi;t̪il̪be̞gi;be̞r̪o̞
h	h	H	27	4	hube̞t̪;hait̪iko̞;hus̪;he̞ggi;he̞be̞
i	i	I	74	33	d̪aue̞t̪i;hait̪iko̞;hait̪iko̞;t̪e̞gi;t̪il̪be̞gi
ii	iː	I	1	1	t̪iim
j	j	J	4	1	ji_gi;t̪e̞l̪agja;ji;je̞hakur̪
g	g	K	34	26	t̪e̞gi;t̪il̪be̞gi;ge̞s̪;l̪ug;l̪e̞go̞
k	k	K	49	24	hait̪iko̞;fo̞ka;t̪o̞l̪ko̞;kur̪ba;ke̞n̪ko̞
gg	gː	K	3	3	he̞ggi;fo̞ggo̞;hagga
kk	kk/kː	K	2	2	l̪us̪kko̞;l̪uʃkko̞
l̪	l̪	L	32	15	t̪o̞l̪ko̞;t̪il̪be̞gi;t̪il̪;l̪i;l̪ug
l̪l̪	l̪l̪/l̪ː	L	6	6	bal̪l̪a;ke̞l̪l̪i;bal̪l̪a;bal̪l̪a;d̪il̪l̪e̞
m	m	M	17	10	n̪o̞mbai;kam;ʃe̞l̪ma;s̪e̞m;as̪ma
mm	mm/mː	M	2	2	d̪ummo̞;hamma
ŋ	ŋ	N	7	6	ʃo̞n̪o̞ŋ;s̪o̞ŋi;d̪o̞ŋad̪i;uŋe̞r̪;e̞ŋa
n̪	n̪	N	46	31	ʃo̞n̪o̞ŋ;ke̞n̪ko̞;ke̞n̪a;n̪e̞s̪e̞i;n̪o̞mbai
n̪h	n̪h/n̪̥	N	8	8	abe̞n̪ho̞;abe̞n̪ho̞;abe̞n̪ho̞;abe̞n̪ho̞;abe̞n̪ho̞
n̪n̪	n̪n̪/n̪ː	N	1	1	ge̞n̪n̪e̞
b	b	P	45	31	hube̞t̪;t̪il̪be̞gi;be̞r̪o̞;kur̪ba;n̪o̞mbai
p	p	P	1	1	s̪pik
bb$	bː	P	1	1	t̪o̞bb
r̪	r̪	R	31	27	be̞r̪o̞;kur̪ba;s̪ur̪ko̞;wo̞r̪;war̪e̞
ʃ	ʃ	S	15	4	ʃo̞n̪o̞ŋ;e̞ʃd̪e̞i;ʃil̪;ʃe̞l̪ma;ʃi
s̪	s̪	S	34	11	t̪e̞s̪;s̪ur̪ko̞;s̪o̞ŋi;n̪e̞s̪e̞i;hus̪
s̪s̪	s̪s̪/s̪ː	S	3	3	s̪as̪s̪e̞;d̪is̪s̪e̞n̪a;kas̪s̪a
d̪	d̪	T	42	21	d̪aue̞t̪i;d̪i;e̞ʃd̪e̞i;d̪is̪;d̪is̪s̪e̞n̪a
t̪	t̪	T	55	20	d̪aue̞t̪i;hube̞t̪;hait̪iko̞;t̪aua;t̪o̞l̪ko̞
^d̪ʒ	d̪ʒ	T	2	2	d̪ʒe̞;d̪ʒur̪iga
t̪t̪	t̪t̪/t̪ː	T	7	7	kit̪t̪o̞;ʃit̪t̪i;ʃigit̪t̪o̞;t̪e̞t̪t̪e̞;t̪e̞t̪t̪e̞
o̞	o̞	U	101	37	ʃo̞n̪o̞ŋ;ʃo̞n̪o̞ŋ;hait̪iko̞;fo̞ka;t̪o̞l̪ko̞
^w	w	W	12	12	wo̞r̪;wo̞s̪;war̪e̞;wuin̪i;wo̞l̪
u	u	Y	29	27	d̪aue̞t̪i;hube̞t̪;t̪aua;kur̪ba;s̪ur̪ko̞
_	+	_	7	7	l̪e̞ft̪a_d̪o̞ko̞;ji_gi;kam_ma;t̪e̞_gi;t̪e̞_gi
l̪w	l̪ w	L W	1	1	wo̞l̪wo̞l̪
