Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		202	NULL	thɪjajʔdʊʔwa;kʊʔmʊ;kahmaat̪ɪ;bahthɛkʼɔ;hɪɪn̪ɔ
$	NULL		223	2	thɪjajʔdʊʔwa;khmaajɔw;kʊʔmʊ;kahmaat̪ɪ;bahthɛkʼɔ
a	a	A	157	103	thɪjajʔdʊʔwa;thɪjajʔdʊʔwa;kahmaat̪ɪ;bahthɛkʼɔ;khattɪtʼʃʼaw
aa	aː	A	36	36	khmaajɔw;kahmaat̪ɪ;maamʊ;khaal̪ɛ;kaan̪ɛ
^ts	ts	C	1	1	tsɛtʼ
ɛ	ɛ	E	38	20	bahthɛkʼɔ;khaal̪ɛ;bahthɛ;kaan̪ɛ;ʔaphphɛ
ɛɛ	ɛː	E	6	5	ʔɛɛwɛn̪;ʃɛɛbaj;bɔttɔphɛɛjɛdʊ;bɔttɔphɛɛjɛdʊ;hɛɛʔɛj
h	h	H	65	29	kahmaat̪ɪ;bahthɛkʼɔ;hɪɪn̪ɔ;ʊhkhaʔwan̪;bahthɛ
ʔ	ʔ	H	64	31	thɪjajʔdʊʔwa;thɪjajʔdʊʔwa;kʊʔmʊ;tʼsʼɪʔda;ʊhkhaʔwan̪
hh	hː	H	4	4	tʃʊhhʊ;ʔɔhhɔ;ʔahhakhaan̪ɪ;ʔɔhhɔs̪a
ʔʔ	ʔʔ/ʔː	H	7	7	hɛʔʔɛ;haʔʔa;waʔʔa;khaʔʔat̪ʼ;hɔʔʔɔ
ɪ	ɪ	I	98	57	thɪjajʔdʊʔwa;kahmaat̪ɪ;khattɪtʼʃʼaw;tʼsʼɪʔda;tʼsʼɪht̪a
ɪɪ	ɪː	I	11	10	hɪɪn̪ɔ;jal̪l̪abɪɪ;s̪ɪɪl̪ɪ;mɪɪmatʃ;tʼsʼɪɪʔɪʔwan̪
j	j	J	25	11	thɪjajʔdʊʔwa;thɪjajʔdʊʔwa;khmaajɔw;jal̪l̪abɪɪ;baal̪aj
jh	jh/j̊	J	2	2	ʔɪjha;l̪ʊppʊjha
jj	jː	J	1	1	hajjʊ
k	k	K	41	23	kʊʔmʊ;kahmaat̪ɪ;mɔkɔtʃ;kaan̪ɛ;tʼsʼahkɪl̪
kh	kh/kʰ	K	10	10	ʊhkhaʔwan̪;hʊʔʊkhbɛ;ʔahhakhaan̪ɪ;kʼɔht̪ɔkht̪ɔ;tɔn̪hkhaj
kk	kk/kː	K	6	6	phakkɪ;phakkɪ;phakkɪ;phakkɪ;phakkɪ
kʼ	kʼ	K	10	6	bahthɛkʼɔ;ʃaʔkʼa;kʼal̪l̪a;hɔʔkʼɔj;ʔal̪hɔt̪akʼ
^kh	kʰ	K	7	7	khmaajɔw;khattɪtʼʃʼaw;khamma;khaal̪ɛ;khɔmtʃa
khkh	kʰː	K	4	4	mʊkhkhatʼ;ʔakhkhaan̪a;mɪkhkhɔ;ʔakhkhɔ
l̪	l̪	L	21	15	khaal̪ɛ;baal̪aj;tʼsʼahkɪl̪;s̪ɪɪl̪ɪ;tʼʃʼɔhl̪ɪl̪ɛ
l̪h	l̪ʰ	L	2	2	ʔal̪hɔt̪akʼ;mɪhɪl̪hkhat̪ɔn̪
l̪l̪	l̪l̪/l̪ː	L	3	3	jal̪l̪abɪɪ;kʼal̪l̪a;ʔal̪l̪aaʃa
m	m	M	55	25	khmaajɔw;kʊʔmʊ;kahmaat̪ɪ;mɔkɔtʃ;maamʊ
