Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		284	NULL	nadɨlɨ;samɨhna;oʔsohke;jaɾiʔna;kʼijaʔenahkʼe
$	NULL		284	NULL	nadɨlɨ;samɨhna;oʔsohke;jaɾiʔna;kʼijaʔenahkʼe
a	a	A	418	220	nadɨlɨ;samɨhna;samɨhna;jaɾiʔna;jaɾiʔna
e	e	E	199	108	oʔsohke;kʼijaʔenahkʼe;kʼijaʔenahkʼe;okʼela;koweʔte
h	h	H	132	128	samɨhna;oʔsohke;kʼijaʔenahkʼe;uhmawano;uhmawano
ʔ	ʔ	H	150	145	oʔsohke;jaɾiʔna;kʼijaʔenahkʼe;uʔwabɨs;koweʔte
hw	hw/hʷ	H	8	8	uhwanukʼuʔju;uhwapɨkɨ;uhwanɨʔta;uhwaɾastʼaʔtʼa;uhwaʔpaɾa
i	i	I	104	77	jaɾiʔna;kʼijaʔenahkʼe;ohnikosno;ibɨstʃa;idohne
ɨ	ɨ	I	55	50	nadɨlɨ;nadɨlɨ;samɨhna;uʔwabɨs;bɨɾuma
j	j	J	66	56	jaɾiʔna;kʼijaʔenahkʼe;uhbuwaʔtjahkʼe;tʼijaja;tʼijaja
k	k	K	83	69	oʔsohke;koɾopo;kanadapa;kamala;koweʔte
kʼ	kʼ	K	17	13	kʼijaʔenahkʼe;kʼijaʔenahkʼe;okʼela;kʼɨɾɨsna;uhbuwaʔtjahkʼe
l	l	L	43	40	nadɨlɨ;okʼela;kamala;kawolo;wanili
m	m	M	119	109	samɨhna;uhmawano;uhmawano;kamala;bɨɾuma
n	n	N	155	151	nadɨlɨ;samɨhna;jaɾiʔna;kʼijaʔenahkʼe;uhmawano
b	b	P	26	23	uʔwabɨs;bɨɾuma;uhbunu;ibɨstʃa;uhbuwaʔtjahkʼe
p	p	P	57	44	koɾopo;uhpatʃatʃano;kanadapa;upuwe;ɨpusne
ɾ	ɾ	R	33	32	jaɾiʔna;koɾopo;bɨɾuma;kʼɨɾɨsna;uhmuʔtuɾu
s	s	S	94	79	samɨhna;oʔsohke;uʔwabɨs;ohnikosno;nɨkaseta
d	d	T	45	40	nadɨlɨ;kanadapa;idohne;tʃɨdɨkɨ;dijaʔtja
t	t	T	52	46	koweʔte;nɨkaseta;unasto;uhbuwaʔtjahkʼe;uhmuʔtuɾu
tʃ	tʃ	T	32	24	uhpatʃatʃano;uhpatʃatʃano;ibɨstʃa;tʃɨdɨkɨ;ohtʃowi
tʼ	tʼ	T	10	6	tʼijaja;ohmostʼoʔdo;tʼijajaʔtja;wanupatʼuwaʔna;uhwaɾastʼaʔtʼa
tʼʃʼ	tʃʼ	T	7	5	utʼʃʼaʔe;utʼʃʼaʔna;okitʼʃʼi;wapatʼʃʼa;tʼʃʼiʔne
o	o	U	121	61	oʔsohke;oʔsohke;uhmawano;uhmawano;koɾopo
w	w	W	74	49	uʔwabɨs;uhmawano;uhmawano;koweʔte;upuwe
u	u	Y	129	62	uʔwabɨs;uhmawano;uhmawano;uhpatʃatʃano;bɨɾuma
_	+	_	1	1	alɨpɨ_kowowoʔna
