Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		194	NULL	nim;or;sino;maskwa;suge
$	NULL		198	NULL	nim;ɲu;or;sino;maskwa
a	a	A	65	35	maskwa;maskwa;kweda;wari;nak
f	f	B	2	1	mufit;far
e	e	E	53	27	suge;kweda;we;sebelum;sebelum
h	h	H	1	1	tahun
i	i	I	51	20	nim;sino;ʃim;ʃim;ibit
j	j	J	9	2	jebris;ja;ajna;jeŋgras;je
g	g	K	20	11	suge;gre;git;gro;ŋgon
k	k	K	44	6	nak;ka;ku;kam;muʃu_dik_sop_dik
l	l	L	1	1	sebelum
m	m	M	57	14	nim;maskwa;ʃim;ʃim;sebelum
n	n	N	46	6	nim;sino;on;nak;mo_ndet
ŋ	ŋ	N	11	7	muŋgwo;buŋa;ŋgon;ŋgwot;jeŋgras
^ɲ	ɲ	N	5	5	ɲu;ɲaŋgon;ɲaŋgon;ɲaŋgon;ɲaŋgon
nn	nn/nː	N	1	1	dʒirnnot
b	b	P	16	7	ibit;sebelum;jebris;ben;dabe
p	p	P	13	5	kwop;muʃu_dik_sop_dik;sopkwa;sopkwa_bris;pu
r	r	R	32	18	or;wari;jebris;gre;ndar
s	s	S	32	5	sino;maskwa;suge;sebelum;jebris
ʃ	ʃ	S	13	4	ʃim;ʃim;ʃe;muʃu_dik_sop_dik;ʃo
z$	z	S	1	1	rz
d	d	T	28	20	kweda;mo_ndet;ndam;ndo;de
t	t	T	19	1	ibit;mo_ndet;te;git;rut
dʒ	dʒ	T	12	6	ndʒau;dʒam;dʒi;dʒam;sukndʒep
o	o	U	72	47	or;sino;on;mo_ndet;ndo
w	w	W	21	12	we;wari;wo;wa;mwa
u	u	Y	44	26	ɲu;suge;sebelum;ndʒau;ku
_	+	_	24	24	mo_ndet;na_ma;muʃu_dik_sop_dik;muʃu_dik_sop_dik;muʃu_dik_sop_dik
gw	gw/g w	K W	7	2	muŋgwo;gwes;gwa;gwes;gwes
kw	kw/k w	K W	8	3	maskwa;kweda;kwop;sopkwa;sopkwa_bris
