Grapheme	IPA	SCA	Frequency
^a	a	A	12
^d	d	T	2
^e	e	E	14
^i	i	I	9
^j	j	J	74
^kh	kʰ	K	16
^l	l	L	13
^lw	l w	L W	1
^m	m	M	17
^n	n	N	21
^o	o	U	17
^ph	pʰ	P	14
^s	s	S	1
^th	th/tʰ	T	18
^u	u	Y	4
^w	w	W	31
^æ	æ	E	9
^ŋ	ŋ	N	9
^ə	ə	E	1
^ɾ	ɾ	R	12
_	+	_	38
a	a	A	125
a$	a	A	22
d	d	T	13
e	e	E	120
e$	e	E	87
i	i	I	93
i$	i	I	4
j	j	J	116
j$	j	J	34
jw	j w	J W	16
kh	kh/kʰ	K	84
kh$	kh/kʰ	K	17
khkh	kʰː	K	1
khw	khw/kʰ w	K W	17
khw$	khw/kʷʰ	K	3
l	l	L	48
l$	l	L	8
ls	l s	L S	1
lw	l w	L W	3
m	m	M	36
m$	m	M	13
mw	m w	M W	1
mw$	m w	M W	1
n	n	N	76
n$	n	N	33
o	o	U	46
o$	o	U	23
ph	ph/pʰ	P	28
ph$	ph/pʰ	P	4
phw	ph/pʰ w	P W	2
phw$	ph/pʰ w	P W	1
th	th/tʰ	T	24
th$	th/tʰ	T	6
u	u	Y	28
v	v	B	1
w	w	W	60
w$	w	W	22
æ	æ	E	48
ə	ə	E	12
ə$	ə	E	5
ɾ	ɾ	R	49
ɾ$	ɾ	R	12
