Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		211	NULL	uɟugo;si;vjeu;lusuvu;huhxespu
$	NULL		217	NULL	uɟugo;si;vjeu;lusuvu;huhxespu
a	a	A	61	17	mau;housa;sihxau;mazhiu;muxusa
f	f	B	2	2	ifu;ufou
v	v	B	3	2	vjeu;lusuvu;livziu
c	c	C	6	2	ciu;hubjc;ɟimciu;ətcu;cei
ɟ	ɟ	C	20	10	uɟugo;olhxəɟə;kiɟeɲ;ɟiu;ɟeɟe
cc	cː	C	1	1	ecchə
ts	ts	C	9	4	otsibo;tsiu;tsau;egzətsə;tsilo
tz	tz/ts	C	1	1	sətzə
e	e	E	56	23	vjeu;huhxespu;re;chige;deu
ə	ə	E	40	19	olhxəɟə;olhxəɟə;iʃʃə;əso;ŋəu
x	x	G	21	19	huhxespu;ʃohxu;olhxəɟə;sihxau;muxusa
h	h	H	25	14	huhxespu;huhxespu;ʃohxu;housa;sihxau
i	i	I	102	65	si;otsibo;chige;sihxau;giu
j	j	J	19	18	vjeu;erbje;səljo;ʁijoa;bije
g	g	K	24	10	uɟugo;chige;giu;gimrou;giu
k	k	K	9	1	kiɟeɲ;ɲiskriɲiu;kuchou;laksiu;mukʃə
l	l	L	18	8	lusuvu;səljo;liu;laksiu;livziu
lh	lh/l̥	L	1	1	olhxəɟə
m	m	M	37	12	mau;musu;gimrou;mazhiu;muxusa
n	n	N	13	4	nuhxuruw;no;puin;no;nəna
ŋ	ŋ	N	2	1	ŋəu;iməŋa
ɲ	ɲ	N	26	8	kiɟeɲ;ɲetho;dzaɲe;ɲiskriɲiu;ɲiskriɲiu
b	b	P	13	9	otsibo;erbje;ʃeba;bije;sibzi
p	p	P	3	1	huhxespu;puin;pseu
ph	ph/pʰ	P	6	6	aphu;ithəphro;əʃiphə;aphu;aphije
^ph	pʰ	P	3	3	phiri;phudeu;phje
r	r	R	31	19	re;gimrou;erbje;riu;nuhxuruw
^ʁ	ʁ	R	3	3	ʁijoa;ʁi;ʁijoksi
s	s	S	31	15	si;lusuvu;huhxespu;housa;musu
z	z	S	18	15	dzaɲe;sigzi;egzətsə;egzi;dzixu
ʃ	ʃ	S	15	6	ʃohxu;ʃeba;iʃi;ʃiu;ʃiu
zh	zh/zʰ	S	1	1	mazhiu
ʃʃ	ʃʃ/ʃː	S	1	1	iʃʃə
^zh	zʰ	S	1	1	zhiu
d	d	T	20	11	deu;dzaɲe;dau;dɟu;dzixu
t	t	T	1	1	ətcu
ch	ch/tʃ	T	8	2	chige;kuchou;chi;echi;chige
dh	dh/dʰ	T	1	1	adha
th	th/tʰ	T	7	4	ɲetho;thu;ithəphro;luthou;sthi
o	o	U	56	36	uɟugo;otsibo;otsibo;ʃohxu;housa
w$	w	W	3	3	nuhxuruw;guw;tsuw
u	u	Y	131	33	uɟugo;uɟugo;vjeu;lusuvu;lusuvu
^fw	f w	B W	1	1	fwu
^phw	pʰ w	P W	1	1	phwa
