Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		280	NULL	tundɔ;aɲanɛjɔ;ali_halɛ;kumulɔ;ɛkɛɲandɔ
$	NULL		277	NULL	tundɔ;aɲanɛjɔ;ali_halɛ;kumulɔ;ɛkɛɲandɔ
a	a	A	160	113	aɲanɛjɔ;aɲanɛjɔ;ali_halɛ;ali_halɛ;ɛkɛɲandɔ
aa$	aː	A	1	1	ŋaa
c	c	C	18	11	cɔaj;cawcaw;cawcaw;cumundɔ;ciktɔ
ɟ	ɟ	C	6	4	ɟagaɾi;aɟɛjɔ;lanɟoj;unɟoj;ɟa
ʄ	ʄ	C	17	4	ʄahɔli;muʄugi;ʄabbali;ʄalli;ʄagi
e	e	E	27	14	ɗejɔ;laleni;mesɔ;teɾi;issej
ɛ	ɛ	E	48	32	aɲanɛjɔ;ali_halɛ;ɛkɛɲandɔ;ɛkɛɲandɔ;gɛɾɛŋ
ɛɛ$	ɛː	E	1	1	ɾɛɛ
h	h	H	19	4	ali_halɛ;ʄahɔli;hɔŋgɔ;hɔli;hɔɾi
i	i	I	131	49	ali_halɛ;kisi;kisi;muni;kaɓaɓogi
j	j	J	66	30	aɲanɛjɔ;baj;ɗejɔ;cɔaj;aŋijtɔ
jj	jː	J	1	1	ojjo
g	g	K	52	37	gɛɾɛŋ;kaɓaɓogi;gaɾa;hɔŋgɔ;lɔgɔndɔ
k	k	K	57	19	kumulɔ;ɛkɛɲandɔ;kisi;kaɓaɓogi;kɔɾɾɔ
ɠ	ɠ	K	2	1	ɠilɠili;ɠilɠili
l	l	L	39	28	ali_halɛ;ali_halɛ;kumulɔ;ʄahɔli;ɗumbuli
ll	ll/lː	L	4	4	hallagi;ʄalli;ɓallogi;illɛj
m	m	M	39	17	kumulɔ;muni;ɗumbuli;mesɔ;maɗtɔ
n	n	N	73	61	tundɔ;aɲanɛjɔ;ɛkɛɲandɔ;muni;lɔgɔndɔ
ŋ	ŋ	N	43	8	gɛɾɛŋ;aŋijtɔ;hɔŋgɔ;ŋuɲdɔ;gidaŋi
ɲ	ɲ	N	16	12	aɲanɛjɔ;ɛkɛɲandɔ;ɲawa;ŋuɲdɔ;ɲabi
b	b	P	24	11	buɾ;baj;bu;ɛbɛktɔ;ɗumbuli
ɓ	ɓ	P	13	3	kaɓaɓogi;kaɓaɓogi;ɓuɾɾaj;ɓokon;ɓallogi
bb	bː	P	4	4	sabbɔ;ʄabbali;sabba;isabbaj
ɾ	ɾ	R	59	46	buɾ;gɛɾɛŋ;gaɾa;ɾɛɛ;usuɾusijɔ
ɾɾ	ɾɾ/ɾː	R	6	6	kɔɾɾɔ;ɓuɾɾaj;taɾɾa;ɓuɾɾej;kuɾɾutɔ
s	s	S	52	35	kisi;sabbɔ;lusi;usuɾusijɔ;usuɾusijɔ
z	z	S	1	1	sizi
ss	ss/sː	S	1	1	issej
d	d	T	24	19	tundɔ;ɛkɛɲandɔ;lɔgɔndɔ;kundɔ;ŋuɲdɔ
t	t	T	42	27	tundɔ;aŋijtɔ;ɛbɛktɔ;sɛtɛn;maɗtɔ
ɗ	ɗ	T	20	10	ɗejɔ;ɗumbuli;kuɗusaj;iɗo;maɗtɔ
o	o	U	57	44	kaɓaɓogi;iɗo;tɔmɔn_ko_ɗɔnɛ;go;bojtɔ
ɔ	ɔ	U	139	66	tundɔ;aɲanɛjɔ;kumulɔ;ɛkɛɲandɔ;sabbɔ
oo	oː	U	6	6	ŋoonu;ŋoonu;goona;goona;goona
ɔɔ$	ɔː	U	1	1	ɓɔɔ
w	w	W	9	5	ɲawa;waj;kawaɾi;cawcaw;cawcaw
u	u	Y	64	49	tundɔ;kumulɔ;kumulɔ;muni;buɾ
_	+	_	6	6	ali_halɛ;tɔmɔn_ko_ɗɔnɛ;tɔmɔn_ko_ɗɔnɛ;waj_tugo;tɔmɔon_ko_ɾaman
