Grapheme	IPA	SCA	Frequency
^a	a	A	31
^a$	a	A	1
^e	e	E	1
^h	h	H	30
^i	i	I	8
^j	j	J	7
^k	k	K	34
^m	m	M	32
^n	n	N	19
^p	p	P	23
^r	r	R	1
^s	s	S	34
^t	t	T	26
^ts	ts	C	1
^tʃ	tʃ	T	10
^u	u	Y	12
^w	w	W	4
^ɔ	ɔ	U	20
^ɔɔ	ɔː	U	1
^ɛ	ɛ	E	16
^ɛɛ	ɛː	E	2
^ɾ	ɾ	R	20
_	+	_	7
a	a	A	152
a$	a	A	61
e	e	E	5
e$	e	E	5
h	h	H	11
i	i	I	71
i$	i	I	26
j	j	J	18
j$	j	J	6
jh	jh/j̊	J	1
k	k	K	86
k$	k	K	18
kk	kk/kː	K	8
m	m	M	27
m$	m	M	14
n	n	N	66
n$	n	N	24
nn	nn/nː	N	8
o	o	U	8
p	p	P	65
p$	p	P	18
pp	pp/pː	P	10
ps	p s	P S	1
r	r	R	2
r$	r	R	3
s	s	S	32
s$	s	S	11
t	t	T	37
t$	t	T	7
tt	tt/tː	T	3
tʃ	tʃ	T	22
u	u	Y	72
u$	u	Y	27
w	w	W	12
w$	w	W	4
ws	w s	W S	1
ɔ	ɔ	U	43
ɔ$	ɔ	U	33
ɛ	ɛ	E	51
ɛ$	ɛ	E	53
ɾ	ɾ	R	56
ɾ$	ɾ	R	22
ɾw	ɾ w	R W	1
ʃ	ʃ	S	1
