Grapheme	IPA	SCA	Frequency
$	NULL	NULL	1
^a	a	A	6
^a$	a	A	1
^dʒ	dʒ	T	1
^d̪	d̪	T	1
^d̪ɮ̪ʊʊ	dɮ ʊː	T Y	1
^g	g	K	3
^h	h	H	8
^i	i	I	9
^ii	iː	I	2
^ii$	iː	I	1
^j	j	J	5
^k	k	K	21
^kh	kʰ	K	5
^kw	kw/k w	K W	1
^kʼ	kʼ	K	15
^kʼw	kʼ w	K W	5
^l̪	l̪	L	1
^n̪	n̪	N	23
^q	q	K	2
^qh	qʰ	K	19
^qhw	qhw/qʷʰ	K	2
^qʼ	qʼ	K	17
^qʼw	qʼ w	K W	1
^s̪	s̪	S	45
^tʃ	tʃ	T	5
^tʃh	tʃʰ	T	8
^tʼʃʼ	tʃʼ	T	3
^t̪	t̪	T	28
^t̪h	t̪ʰ	T	3
^t̪ʼ	t̪ʼ	T	22
^w	w	W	3
^x	x	G	7
^ŋ	ŋ	N	1
^ɢ	ɢ	K	4
^ɬ	ɬ	L	1
^ɬ̪	ɬ̪	L	10
^ɬ̪ʼ	ɬ̪ʼ	L	1
^ʔ	ʔ	H	3
^ʔw	ʔʷ	H	5
^ʕ	ʕ	H	32
^χ	χ	G	1
_	+	_	19
a	a	A	173
a$	a	A	9
aa	aː	A	128
aa$	aː	A	80
d̪	d̪	T	11
d̪$	d̪	T	2
e	e	E	1
ee	eː	E	1
g	g	K	9
gw	gw/g w	K W	3
h	h	H	1
h$	h	H	2
i	i	I	25
i$	i	I	1
ii	iː	I	27
ii$	iː	I	21
j	j	J	31
j$	j	J	18
js̪	j s̪	J S	1
jw	j w	J W	1
k	k	K	45
kh	kh/kʰ	K	5
kh$	kh/kʰ	K	2
kw	kw/k w	K W	5
kʼ	kʼ	K	13
kʼw$	kʼ w	K W	1
l̪	l̪	L	20
l̪$	l̪	L	11
m	m	M	1
m$	m	M	2
n	n	N	2
n̪	n̪	N	41
n̪$	n̪	N	49
n̪s̪	n̪ s̪	N S	9
n̪s̪$	n̪ s̪	N S	1
qh	qh/qʰ	K	10
qʼ	qʼ	K	5
s̪	s̪	S	23
s̪$	s̪	S	3
tʃ	tʃ	T	8
tʃ$	tʃ	T	6
tʃh	tʃh/tʃʰ	T	2
tʃh$	tʃh/tʃʰ	T	1
tʼsʼ	tsʼ	T	2
tʼʃʼ	tʃʼ	T	3
t̪	t̪	T	31
t̪$	t̪	T	27
t̪h	t̪h/t̪ʰ	T	4
t̪h$	t̪h/t̪ʰ	T	10
t̪s̪	ts̪/ts̪	T	1
t̪ʼ	t̪ʼ	T	16
u	u	Y	3
uu	uː	Y	1
w	w	W	12
w$	w	W	11
x	x	G	15
ŋ	ŋ	N	24
ŋ$	ŋ	N	34
ɢ	ɢ	K	4
ɢw	ɢw/ɢ w	K W	2
ɬ	ɬ	L	2
ɬ$	ɬ	L	1
ɬ̪	ɬ̪	L	31
ɬ̪$	ɬ̪	L	17
ɬ̪ʼ	ɬ̪ʼ	L	10
ɮ̪	ɮ	L	2
ʊ	ʊ	Y	47
ʊʊ	ʊː	Y	13
ʊʊ$	ʊː	Y	20
ʔ	ʔ	H	14
ʕ	ʕ	H	8
χ	χ	G	1
