Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		323	NULL	enkepeɾ;auɾe;oɾe_pee;ɛnkai;pokiɾa
$	NULL		319	NULL	enkepeɾ;auɾe;ɛnkai;pokiɾa;aɠoɾo
a	a	A	302	136	auɾe;ɛnkai;pokiɾa;aɠoɾo;ɔlasai
aa	aː	A	20	8	ʃiaat;aɗʊmaa;aas;ʃiaat;aanaɾɪtʃɔ
ʄ	ʄ	C	15	14	olkimoʄino;ɔlɔʄɔŋani;ɛnkɛʄʊ;ɛnkʊʄɪta;aɪɾʊʄʊɾʊʄʊ
e	e	E	65	26	enkepeɾ;enkepeɾ;enkepeɾ;auɾe;oɾe_pee
ɛ	ɛ	E	96	37	ɛnkai;eŋuɛs;ɛnkaɪna;ɛnkaɪna;ɛnkaɓoɓoki
ɛɛ	ɛː	E	2	1	aɪkɛɾɛɛk;ɔlɛɛ
ee$	eː	E	3	3	oɾe_pee;koɾee;aɪɲɔɔ_pee
i	i	I	123	74	ɛnkai;pokiɾa;ɔlasai;enkoɾioŋ;ɛnkaɓoɓoki
ɪ	ɪ	I	103	78	ɛnkaɪna;ɛnkaɪna;nkaɾakɪ;mɪŋani;ɔlɛpɪɾɲɪɲ
ɪɪ	ɪː	I	1	1	aɪsɪɪʃɔ
ii$	iː	I	1	1	kii
j	j	J	5	5	ɗʊkʊja;ajaŋ;aɪtaju_inkik;ɛnɗʊkʊja;aɗuaaja
jj	jː	J	47	47	emɓenejjo;latʃejjo;atojjo;apujjapui;aisejje
k	k	K	146	103	enkepeɾ;ɛnkai;pokiɾa;ɛnkaɪna;ɛnkaɪna
ɠ	ɠ	K	10	9	aɠoɾo;ɔsaɾɠɛ;aɠut;aɠol;aɪraɠ
l	l	L	84	76	ɔlasai;oloito;ɔlkului;ɔlkului;ɔlɛpɪɾɲɪɲ
m	m	M	32	27	ɛmɓata;emotoɲi;mɪŋani;aɗʊmaa;mpar
n	n	N	132	91	enkepeɾ;ɛnkai;ɛnkaɪna;ɛnkaɪna;ɛnkaɪna
ŋ	ŋ	N	25	15	eŋuɛs;enkoɾioŋ;mɪŋani;ajaŋ;enkiɾiŋo
ɲ	ɲ	N	22	19	emotoɲi;awɔɲ;ɔlɛpɪɾɲɪɲ;ɔlɛpɪɾɲɪɲ;asɪɲaɾi
p	p	P	68	61	enkepeɾ;oɾe_pee;pokiɾa;sapʊk;ɔlɛpɪɾɲɪɲ
ɓ	ɓ	P	24	23	ɛnkaɓoɓoki;ɛnkaɓoɓoki;aɓoɾi;ɛmɓata;aɪɾɔɓɪ
r	r	R	16	14	aɪrɔk;mpar;aɪtɛrɛ;osinkiri;aɪraɠ
ɾ	ɾ	R	68	60	enkepeɾ;auɾe;oɾe_pee;pokiɾa;aɠoɾo
s	s	S	43	29	eŋuɛs;ɔlasai;siaɗi;sapʊk;ɔsaɾɠɛ
ʃ	ʃ	S	20	16	ʃiaat;teɾiʃet;aɪʃɪɾ;aʃɪk;aʃɪaʃa
t	t	T	68	40	tɔɾnɔ;ʃiaat;ɛmɓata;teɾiʃet;teɾiʃet
ɗ	ɗ	T	24	21	ɗʊkʊja;siaɗi;aɗua;aɗal;aɗʊmaa
tʃ	tʃ	T	13	13	nkɔtʃɛkɛ;aɪtʃɔ;aanaɾɪtʃɔ;latʃejjo;ɛntʃan
o	o	U	125	64	oɾe_pee;pokiɾa;aɠoɾo;aɠoɾo;nkuɾon
ɔ	ɔ	U	59	26	ɔlasai;tɔɾnɔ;tɔɾnɔ;nkɔtʃɛkɛ;awɔɲ
oo	oː	U	8	3	nɗooto;laisotoo;ijjook;ijjook;kokoo
ɔɔ	ɔː	U	2	1	aɪɲɔɔ;aɪɲɔɔ_pee
w	w	W	6	6	awɔɲ;awɔŋ;ɛnkɛwaɾie;ɔlɛwaiʃo;ɛnkɛsʊwɛk
ww	ww/wː	W	4	4	emowwo;aɪɾowwa;ewwaso;awwɛn
u	u	Y	67	61	auɾe;eŋuɛs;nkuɾon;aɗua;ɔlkului
ʊ	ʊ	Y	43	37	ɗʊkʊja;ɗʊkʊja;sapʊk;akʊt;aɗʊmaa
uu	uː	Y	2	2	aiʄuluus;suuʄi
_	+	_	10	10	oɾe_pee;aɪtaju_inkik;tɔmɔn_o_oɓo;tɔmɔn_o_oɓo;alo_ti_ai
