Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		290	NULL	tɛitɛxi;βɑβɑlɑ;lɑtɑlɑ;kilikɑlu;tɛmɛnɛ
$	NULL		290	NULL	tɛitɛxi;βɑβɑlɑ;lɑtɑlɑ;kilikɑlu;tɛmɛnɛ
ɑ	ɑ	A	267	193	βɑβɑlɑ;βɑβɑlɑ;βɑβɑlɑ;lɑtɑlɑ;lɑtɑlɑ
ɑɑ	ɑː	A	7	3	ɑʔɑɑ;tɑɑtɑɑ;tɑɑtɑɑ;tɑɑsiɛ;ɑloxoβɑɑ
β	β	B	70	46	βɑβɑlɑ;βɑβɑlɑ;lɑuβɑnu;βɑsimɛlɛ;iβo
^f	f	B	1	1	fɑu
ɛ	ɛ	E	202	95	tɛitɛxi;tɛitɛxi;tɛmɛnɛ;tɛmɛnɛ;tɛmɛnɛ
ɛɛ	ɛː	E	4	2	sɛsɛɛnu;βɛβɛɛ;βɛβɛɛ;xɑlɛɛxu
x	x	G	74	60	tɛitɛxi;suxiŋɛŋi;suxiŋɛŋi;mɑɛxo;xo
ʔ	ʔ	H	42	41	luʔɛ;ʔɛlɑʔɛlɑ;ʔɛlɑʔɛlɑ;siβɑβɑʔɛ;nɛʔɛ
i	i	I	178	94	tɛitɛxi;tɛitɛxi;kilikɑlu;kilikɑlu;lululi
ii	iː	I	2	1	kii;ɑiinu
k	k	K	41	21	kilikɑlu;kilikɑlu;oko;kolo;koo
l	l	L	141	109	βɑβɑlɑ;lɑtɑlɑ;lɑtɑlɑ;kilikɑlu;kilikɑlu
m	m	M	81	49	tɛmɛnɛ;lomulo;tumɑliɛ;mɑɛxo;muximuxi
n	n	N	44	35	tɛmɛnɛ;lɑuβɑnu;nɛʔɛ;nɑβɑɛ;ɑni
ŋ	ŋ	N	23	17	suxiŋɛŋi;suxiŋɛŋi;suxiŋɛŋi;suxiŋɛŋi;ŋotu
p	p	P	12	8	opoo;mulɑpu;lɑpɑu;pukɛ;pɑpɑxɛxu
s	s	S	58	40	suxiŋɛŋi;suxiŋɛŋi;sixulɑ;siɑluxu;βɑsimɛlɛ
t	t	T	79	43	tɛitɛxi;tɛitɛxi;lɑtɑlɑ;tɛmɛnɛ;tumɑliɛ
o	o	U	99	64	lomulo;lomulo;mɑɛxo;ŋotu;xo
oo	oː	U	3	1	opoo;koo;mɑtoxoonu
u	u	Y	150	76	kilikɑlu;lululi;lululi;suxiŋɛŋi;suxiŋɛŋi
uu$	uː	Y	1	1	βuβuu
_	+	_	15	15	muxɑtɛlɛ_tɑtɑlu;mɑβoloβɛxɑ_βilɛ_mo_mulɛliɑ_βilɛ;mɑβoloβɛxɑ_βilɛ_mo_mulɛliɑ_βilɛ;mɑβoloβɛxɑ_βilɛ_mo_mulɛliɑ_βilɛ;mɑβoloβɛxɑ_βilɛ_mo_mulɛliɑ_βilɛ
