Grapheme	IPA	SCA	Frequency
^_	NULL	_	2
^a	a	A	35
^aa	aː	A	12
^b	b	P	12
^f	f	B	3
^h	h	H	35
^i	i	I	69
^j	j	J	2
^k	k	K	15
^l	l	L	9
^m	m	M	17
^n	n	N	17
^o	o	U	18
^oo	oː	U	2
^p	p	P	19
^s	s	S	14
^t	t	T	23
^tʃ	tʃ	T	18
^w	w	W	5
^ĩ	ĩ	I	11
^ɬ	ɬ	L	6
_	+	_	3
a	a	A	197
a$	a	A	127
aa	aː	A	76
b	b	P	57
f	f	B	20
ff	fː	B	5
h	h	H	48
i	i	I	100
i$	i	I	165
ii	iː	I	17
j	j	J	20
jh	jh/j̊	J	2
jj	jː	J	25
k	k	K	128
kh	kh/kʰ	K	7
kk	kk/kː	K	19
ks	k s	K S	9
l	l	L	82
lh	lh/l̥	L	4
ll	ll/lː	L	6
m	m	M	24
mm	mm/mː	M	4
n	n	N	78
nh	nh/n̥	N	3
nn	nn/nː	N	5
o	o	U	119
o$	o	U	50
oo	oː	U	41
p	p	P	48
pp	pp/pː	P	1
s	s	S	89
s$	s	S	1
ss	ss/sː	S	7
sw	s w	S W	3
t	t	T	76
t$	t	T	1
th	th/tʰ	T	1
tt	tt/tː	T	11
tʃ	tʃ	T	52
tʃh	tʃh/tʃʰ	T	1
w	w	W	11
ww	ww/wː	W	1
ɬ	ɬ	L	14
ɬɬ	ɬɬ/ɬː	L	4
ʃ	ʃ	S	2
