Grapheme	IPA	SCA	Frequency
_$	NULL	NULL	1
^_	NULL	_	1
^a	a	A	78
^h	h	H	17
^i	i	I	59
^j	j	J	7
^k	k	K	8
^n	n	N	15
^o	o	U	4
^t	t	T	9
^tʃ	tʃ	T	22
^u	u	Y	13
^w	w	W	11
^x	x	G	7
^ɨ	ɨ	I	5
^ɲ	ɲ	N	2
_	+	_	19
a	a	A	150
a$	a	A	56
b	b	P	1
e	e	E	1
h	h	H	26
h$	h	H	3
i	i	I	78
i$	i	I	22
j	j	J	50
k	k	K	65
l	l	L	1
n	n	N	93
n$	n	N	35
nh	nh/n̥	N	11
nw	n w	N W	1
o	o	U	43
o$	o	U	53
oo$	oː	U	1
sh	sh/sʰ	S	1
t	t	T	72
tʃ	tʃ	T	43
u	u	Y	74
u$	u	Y	19
w	w	W	44
x	x	G	16
ɨ	ɨ	I	53
ɨ$	ɨ	I	33
ɲ	ɲ	N	13
ɾ	ɾ	R	14
ʃ	ʃ	S	1
ʔ	ʔ	H	172
ʔ$	ʔ	H	35
ʔh	ʔh/ʔʰ	H	10
