Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		316	NULL	aɾai;musika;ahaka;kokotuka;jaɾi
$	NULL		315	NULL	aɾai;musika;ahaka;kokotuka;jaɾi
a	a	A	366	214	aɾai;aɾai;musika;ahaka;ahaka
aa$	aː	A	1	1	isaa
e	e	E	52	30	hekunu_ahuhu;hebuɾa;teho;ameho;debotoboto
h	h	H	129	76	ahaka;muha;haɾa;haɾa;hekunu_ahuhu
i	i	I	146	81	aɾai;musika;jaɾi;inaɾao;dai
j	j	J	12	6	jaɾi;jati;tokojo;oɾabakaja;jaka
g	g	K	20	11	kaguana;guaba;guaha;guihi;kaguaha
k	k	K	107	82	musika;ahaka;kokotuka;kokotuka;kokotuka
q	q	K	1	1	oqoko
m	m	M	70	48	musika;muha;obohonamo;domu;muhu
n	n	N	92	54	inaɾao;hekunu_ahuhu;obohonamo;nokabasaba;kaguana
b	b	P	64	54	siboɾoɾi;obohonamo;nokabasaba;nokabasaba;abu
ɾ	ɾ	R	97	96	aɾai;jaɾi;inaɾao;haɾa;haɾa
s	s	S	30	21	musika;asi;siboɾoɾi;nokabasaba;kasi
d	d	T	50	14	dai;aida;domu;doka;debotoboto
t	t	T	72	54	kokotuka;jati;teho;hoto;nahamutu
o	o	U	233	122	kokotuka;kokotuka;inaɾao;hoɾo;hoɾo
u	u	Y	115	62	musika;kokotuka;muha;hekunu_ahuhu;hekunu_ahuhu
_	+	_	14	14	hekunu_ahuhu;mohomatana_dihanamo;mohoɾeko_aɾai_isaka;mohoɾeko_aɾai_isaka;a_mi
