Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		315	NULL	pot̪a_wie;mus̪eowohat̪a;hue;koŋki;mot̪u
$	NULL		332	NULL	pot̪a_wie;mus̪eowohat̪a;hue;koŋki;mot̪u
^patʔʃul$	p a t ʔ ʃ u l	P A T H S Y L	1	1	patʔʃul
a	a	A	258	171	pot̪a_wie;mus̪eowohat̪a;mus̪eowohat̪a;hwan̪at̪a;hwan̪at̪a
e	e	E	125	99	pot̪a_wie;mus̪eowohat̪a;hue;n̪amukʔeophtʃil;ki_tʔæmun̪e
æ	æ	E	33	23	kæmi;tʃæ;ki_tʔæmun̪e;pæ;ui_aræe
h	h	H	27	6	mus̪eowohat̪a;hue;hat̪a;høs̪ækh;hæŋpokhan̪
ʔ	ʔ	H	36	36	n̪amukʔeophtʃil;ki_tʔæmun̪e;s̪ʔɯn̪;pʔjeo;kʔækʔɯthan̪
hw	hw/hʷ	H	1	1	kohwan̪
^hw	hʷ	H	1	1	hwan̪at̪a
i	i	I	111	59	pot̪a_wie;koŋki;kæmi;tʃotʃhi_an̪tha;n̪amukʔeophtʃil
ɯ	ɯ	I	62	61	t̪ɯŋ;arɯmt̪aun̪;khɯn̪;s̪ʔɯn̪;keomɯn̪
j	j	J	45	30	ui_jeophe;pʔjeo;s̪on̪jeon̪;jeot̪eol;jeolhan̪a
k	k	K	81	43	koŋki;koŋki;kæmi;n̪amukʔeophtʃil;ki_tʔæmun̪e
kh	kh/kʰ	K	36	27	t̪otʃhakhat̪a;tʃeoŋhwakhan̪;tʃukht̪a;meokht̪a;s̪oŋarakh
^kh	kʰ	K	4	4	khɯn̪;kheotʃit̪a;kho;khorɯl_kolt̪a
l	l	L	58	28	t̪oŋmul;phal;phal;n̪amukʔeophtʃil;mult̪a
lh	lh/l̥	L	2	2	jeolhan̪a;malhat̪a
ll	ll/lː	L	11	11	meolli;t̪allit̪a;thɯllin̪;tʃilljeo;tʃilljeo
m	m	M	93	51	mus̪eowohat̪a;mot̪u;t̪oŋmul;kæmi;n̪amukʔeophtʃil
mh	mh/m̥	M	2	2	kitʃhimhat̪a;haphumhat̪a
ŋ	ŋ	N	32	15	koŋki;t̪oŋmul;t̪ɯŋ;eoŋt̪eoŋi;eoŋt̪eoŋi
n̪	n̪	N	151	38	hwan̪at̪a;tʃotʃhi_an̪tha;n̪amukʔeophtʃil;arɯmt̪aun̪;ki_tʔæmun̪e
ŋh	ŋh/ŋ̊	N	3	3	phjeoŋphjeoŋhan̪;tʃojoŋhan̪;s̪ujeoŋhat̪a
n̪h	n̪h/n̪̥	N	2	2	t̪an̪t̪an̪han̪;won̪hat̪a
ŋhw	ŋh/ŋ̥ʷ	N	1	1	tʃeoŋhwakhan̪
n̪n̪	n̪n̪/n̪ː	N	5	5	eon̪n̪i;s̪on̪n̪jeo;s̪on̪n̪jeo;s̪on̪n̪jeo;s̪on̪n̪jeo
p	p	P	42	17	pot̪a_wie;pæ;pult̪a;pʔjeo;pin̪
ph	ph/pʰ	P	16	8	n̪amukʔeophtʃil;ui_jeophe;kipht̪a;s̪on̪thoph;phjeoŋphjeoŋhan̪
^ph	pʰ	P	9	9	phal;phal;phi;pharan̪;phjeoŋphjeoŋhan̪
r	r	R	41	41	arɯmt̪aun̪;ui_aræe;pharan̪;kurɯm;t̪eoreoun̪
s̪	s̪	S	61	12	mus̪eowohat̪a;s̪wie;s̪aie;s̪æ;s̪ʔɯn̪
t	t	T	11	5	ki_tʔæmun̪e;tʔaŋ;tʔeoreotʃit̪a;kitʔeol;tʔærit̪a
th	th/tʰ	T	31	13	tʃotʃhi_an̪tha;that̪a;kʔækʔɯthan̪;n̪ath;mjeoth
tʃ	tʃ	T	80	46	tʃæ;tʃotʃhi_an̪tha;n̪amukʔeophtʃil;tʃeon̪e;tʃeoŋhwakhan̪
t̪	t̪	T	96	76	pot̪a_wie;mus̪eowohat̪a;mot̪u;hwan̪at̪a;t̪oŋmul
tʃh	tʃh/tʃʰ	T	14	14	tʃotʃhi_an̪tha;t̪otʃhakhat̪a;kitʃhimhat̪a;kat̪ɯkh_tʃhan̪;keotʃhin̪
^tʃh	tʃʰ	T	3	3	tʃhan̪;tʃheon̪t̪uŋ;tʃhia
ths̪	ths̪/ts̪ʰ	T	1	1	moths̪æŋkin̪
o	o	U	200	173	pot̪a_wie;mus̪eowohat̪a;mus̪eowohat̪a;koŋki;mot̪u
ø	ø	U	7	1	n̪ø;høs̪ækh;øn̪tʃʔokui;øs̪amtʃhon̪;øs̪amtʃhon̪
w	w	W	6	2	pot̪a_wie;mus̪eowohat̪a;s̪wie;s̪ums̪wit̪a;won̪hat̪a
u	u	Y	66	59	mus̪eowohat̪a;hue;mot̪u;t̪oŋmul;n̪amukʔeophtʃil
uu	uː	Y	1	1	eot̪uun̪
_	+	_	23	23	pot̪a_wie;tʃotʃhi_an̪tha;ki_tʔæmun̪e;ui_aræe;ui_jeophe
kw	kw/k w	K W	2	1	kwi;s̪eoŋkwaŋje
