Grapheme	IPA	SCA	Frequency
^a	a	A	24
^a$	a	A	1
^c	c	C	1
^d	d	T	4
^e	e	E	3
^f	f	B	2
^h	h	H	15
^i	i	I	9
^j	j	J	2
^k	k	K	10
^m	m	M	18
^n	n	N	7
^p	p	P	16
^s	s	S	10
^t	t	T	20
^ts	ts	C	4
^tʃ	tʃ	T	37
^u	u	Y	13
^u$	u	Y	1
^w	w	W	9
^ç	ç	C	5
^ɨ	ɨ	I	6
^ɲ	ɲ	N	6
^ɾ	ɾ	R	6
^ʂ	ʂ	S	5
^ʈʂ	ʈʂ	C	12
a	a	A	88
a$	a	A	99
aa	aː	A	1
c	c	C	7
d	d	T	10
e	e	E	30
e$	e	E	18
f	f	B	4
h	h	H	14
h$	h	H	1
i	i	I	43
i$	i	I	36
ii	iː	I	1
j	j	J	2
k	k	K	11
m	m	M	44
n	n	N	55
nh	nh/n̥	N	2
o	o	U	2
p	p	P	31
ps	p s	P S	1
s	s	S	10
t	t	T	52
t$	t	T	1
ts	ts	C	13
tʃ	tʃ	T	15
u	u	Y	34
u$	u	Y	34
w	w	W	8
ç	ç	C	19
ɨ	ɨ	I	78
ɨ$	ɨ	I	53
ɲ	ɲ	N	9
ɾ	ɾ	R	24
ʂ	ʂ	S	6
ʃ	ʃ	S	1
ʈʂ	ʈʂ	C	3
ʔ	ʔ	H	73
ʔ$	ʔ	H	2
ʔh	ʔh/ʔʰ	H	2
