Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		324	NULL	nɛŋɪ;ɓalafa;ɛfɛrʊ;jema_bɪsɛ;fʊrʊɓio
$	NULL		315	NULL	nɛŋɪ;ɓalafa;ɛfɛrʊ;jema_bɪsɛ;fʊrʊɓio
a	a	A	225	132	ɓalafa;ɓalafa;ɓalafa;jema_bɪsɛ;nama
aa$	aː	A	5	5	gbalalaa;laa;digalaa;pʊfaa;begulaa
f	f	B	28	16	ɓalafa;ɛfɛrʊ;fʊrʊɓio;ɓʊrɔfɔʊn;ofoni
^v	v	B	1	1	vurukuu
e	e	E	81	64	jema_bɪsɛ;sei;tɔrʊekɪmɔ;oduimeni;eneke
ɛ	ɛ	E	56	33	nɛŋɪ;ɛfɛrʊ;ɛfɛrʊ;jema_bɪsɛ;ɛrɛsɪnɛ
ee	eː	E	3	1	lee;feleleefelelee;feleleefelelee
ɛɛ	ɛː	E	2	1	bɛdɛgɛɛmɔ;pʊrɛɛ
h	h	H	3	3	ɗiriɓɪaha;kiri_hɔ_timi;koriaha
i	i	I	151	66	fʊrʊɓio;sei;igirigi;igirigi;igirigi
ɪ	ɪ	I	110	69	nɛŋɪ;jema_bɪsɛ;ɪsɔno;ɔpɪnɪ;ɔpɪnɪ
ɪɪ	ɪː	I	1	1	gɪdɪɪn
ii$	iː	I	2	2	ikogii;milolii
j	j	J	46	8	jema_bɪsɛ;ɪnjɔ_sara;jou;jefa;ɓoukɔnje
g	g	K	64	52	bɛdɛgɛɛmɔ;igirigi;igirigi;gʊlʊgʊlʊ;gʊlʊgʊlʊ
k	k	K	49	32	tɔrʊekɪmɔ;akʊ;ɔkpɔtɔ;eneke;akanamɔ
l	l	L	46	42	ɓalafa;gʊlʊgʊlʊ;gʊlʊgʊlʊ;pulo;buluubuluu
m	m	M	60	52	jema_bɪsɛ;nama;tɔrʊekɪmɔ;bɛdɛgɛɛmɔ;oduimeni
n	n	N	86	51	nɛŋɪ;nama;ɪsɔno;ɓʊrɔfɔʊn;ɔpɪnɪ
ŋ	ŋ	N	15	15	nɛŋɪ;ɔbʊtoŋu;aŋa;ɓarasʊŋbalɪ;ninoŋo
ŋh	ŋh/ŋ̊	N	1	1	idʒaŋha
b	b	P	40	35	jema_bɪsɛ;ɔbʊtoŋu;ɔbʊ;bɛdɛgɛɛmɔ;buluubuluu
p	p	P	25	12	ɔpɪnɪ;ɔpʊ;pulo;ɔkpɔtɔ;otumopagara
ɓ	ɓ	P	100	62	ɓalafa;fʊrʊɓio;ɓara;ɓara;ɓʊrɔfɔʊn
r	r	R	92	92	ɛfɛrʊ;fʊrʊɓio;ɓara;ɓara;ɓʊrɔfɔʊn
s	s	S	23	15	jema_bɪsɛ;ɪsɔno;sei;ɛrɛsɪnɛ;ɪnjɔ_sara
d	d	T	44	34	bɛdɛgɛɛmɔ;oduimeni;indo;dɔgɪ;gɪdɪɪn
t	t	T	66	35	ɔbʊtoŋu;tɔrʊekɪmɔ;anɪtɛrɛ;tɔgʊ;ɔkpɔtɔ
ɗ	ɗ	T	12	2	ɗɔɗɔ;ɗɔɗɔ;ɗiriɓɪaha;ɗɪgɪɗɪgi;ɗɪgɪɗɪgi
dʒ	dʒ	T	2	2	idʒaŋha;idʒan
o	o	U	101	63	fʊrʊɓio;ɪsɔno;ɔbʊtoŋu;ofoni;ofoni
ɔ	ɔ	U	115	73	ɪsɔno;ɓʊrɔfɔʊn;ɓʊrɔfɔʊn;ɔbʊtoŋu;ɔpɪnɪ
ɔɔ	ɔː	U	3	1	gɔɔrɔɔ;gɔɔrɔɔ;fɪlɔtɔɔ
oo$	oː	U	2	2	kokoroo;oɓokoo
ooo$	ooo/oː	U	1	1	pooo
w	w	W	32	24	onwoin;wolowolo;wolowolo;warɪ;wolowolo
u	u	Y	47	36	ɔbʊtoŋu;pulo;ofuro;buluubuluu;buluubuluu
ʊ	ʊ	Y	94	63	ɛfɛrʊ;fʊrʊɓio;fʊrʊɓio;ɓʊrɔfɔʊn;ɓʊrɔfɔʊn
uu	uː	Y	5	2	buluubuluu;buluubuluu;gbugburuu;buun;vurukuu
ʊʊ	ʊː	Y	3	1	fɪʊʊ;ɪmgbʊlʊʊmɔ;gɔmʊʊ
_	+	_	10	10	jema_bɪsɛ;ɪnjɔ_sara;igoni_dɔgʊ;ɓɪɓɪ_ɓagʊ;ɓio_polomɔ
